"searchQuery/countryCode","searchQuery/device","searchQuery/domain","searchQuery/languageCode","searchQuery/locationUule","searchQuery/page","searchQuery/resultsPerPage","searchQuery/term","searchQuery/type","searchQuery/url","resultsTotal","date","description","displayedUrl","emphasizedKeywords/0","emphasizedKeywords/1","emphasizedKeywords/2","emphasizedKeywords/3","emphasizedKeywords/4","position","title","type","url","emphasizedKeywords/5","emphasizedKeywords/6"
"DE","DESKTOP","google.de",,,"1","5","SPD gegen längere Atomkraft-Laufzeit site:faz.net","SEARCH","http://www.google.de/search?q=SPD+gegen+l%C3%A4ngere+Atomkraft-Laufzeit+site%3Afaz.net&num=5","240","2022-07-24T12:00:00.000Z","Politiker aus SPD und Grünen halten eine Laufzeitverlängerung dreier Kernkraftwerke zwar weiter für schlecht, lehnen sie aber nicht mehr ...","https://www.faz.net › FAZ.NET › Politik › Inland","SPD","Laufzeitverlängerung",,,,"1","Atomkraft: Widerstand gegen Laufzeitverlängerung bei ...","organic","https://www.faz.net/aktuell/politik/inland/atomkraft-widerstand-gegen-laufzeitverlaengerung-bei-spd-und-gruenen-18195731.html",,
"DE","DESKTOP","google.de",,,"1","5","SPD gegen längere Atomkraft-Laufzeit site:faz.net","SEARCH","http://www.google.de/search?q=SPD+gegen+l%C3%A4ngere+Atomkraft-Laufzeit+site%3Afaz.net&num=5","240",,"Führende SPD-Politiker haben neuen Forderungen aus der Union nach einer Laufzeitverlängerung für Atomkraftwerke eine klare Absage erteilt.","https://www.faz.net › FAZ.NET › Politik › Inland","SPD","Laufzeitverlängerung","Atomkraftwerke",,,"2","SPD erteilt längeren Atomkraftwerk-Laufzeiten erneut klare ...","organic","https://www.faz.net/aktuell/politik/inland/spd-erteilt-laengeren-atomkraftwerk-laufzeiten-erneut-klare-absage-18153345.html",,
"DE","DESKTOP","google.de",,,"1","5","SPD gegen längere Atomkraft-Laufzeit site:faz.net","SEARCH","http://www.google.de/search?q=SPD+gegen+l%C3%A4ngere+Atomkraft-Laufzeit+site%3Afaz.net&num=5","240","2022-07-19T12:00:00.000Z","Tempolimit gegen längere AKW-Laufzeiten ... SPD und Grünen abgelehnte verlängerte Laufzeit für die Atomkraftwerke über das Jahresende 2022 hinaus.","https://www.faz.net › FAZ.NET › Politik › Inland","gegen längere","SPD","Laufzeit","Atomkraftwerke",,"3","Atomkraft gegen Tempolimit: Diesen Deal wollte fast keiner","organic","https://www.faz.net/aktuell/politik/inland/atomkraft-gegen-tempolimit-diesen-deal-wollte-fast-keiner-18183672.html",,
"DE","DESKTOP","google.de",,,"1","5","SPD gegen längere Atomkraft-Laufzeit site:faz.net","SEARCH","http://www.google.de/search?q=SPD+gegen+l%C3%A4ngere+Atomkraft-Laufzeit+site%3Afaz.net&num=5","240",,"Der SPD-Vorsitzende Lars Klingbeil weist Forderungen der Union nach einer Laufzeitverlängerung für Atomkraftwerke zurück. Das sei ein „Trip in die Vergangenheit ...","https://www.faz.net › wirtschaft › thema › atomausstieg-p3","SPD","Laufzeitverlängerung","Atomkraftwerke",,,"4","Atomausstieg - News der FAZ","organic","https://www.faz.net/aktuell/wirtschaft/thema/atomausstieg-p3",,
"DE","DESKTOP","google.de",,,"1","5","SPD gegen längere Atomkraft-Laufzeit site:faz.net","SEARCH","http://www.google.de/search?q=SPD+gegen+l%C3%A4ngere+Atomkraft-Laufzeit+site%3Afaz.net&num=5","240","2022-10-17T12:00:00.000Z","Olaf Scholz spricht im Streit über die Atomkraftwerke ein Machtwort und kippt damit einen zwei Tage alten Parteitagsbeschluss der Grünen.","https://www.faz.net › FAZ.NET › Politik › Inland","Atomkraftwerke",,,,,"5","AKW-Streit: Olaf Scholz spricht ein Machtwort in der Ampel","organic","https://www.faz.net/aktuell/politik/inland/akw-streit-olaf-scholz-spricht-ein-machtwort-in-der-ampel-18393953.html",,
"DE","DESKTOP","google.de",,,"1","5","Das Nein zu einer längeren Atomkraft-Nutzung bröckelt site:faz.net","SEARCH","http://www.google.de/search?q=Das+Nein+zu+einer+l%C3%A4ngeren+Atomkraft-Nutzung+br%C3%B6ckelt+site%3Afaz.net&num=5","154","2022-07-18T12:00:00.000Z","Das Nein zu einer längeren Atomkraft-Nutzung bröckelt. 18.07.2022, 20 ... längeren Laufzeit der Meiler größer als der Nutzen. Ein ...","https://www.faz.net › FAZ.NET › Wirtschaft","Das Nein zu einer längeren Atomkraft","Nutzung bröckelt","längeren",,,"1","Das Nein zu einer Laufzeitverlängerung bröckelt","organic","https://www.faz.net/aktuell/wirtschaft/das-nein-zu-einer-laufzeitverlaengerung-broeckelt-18181938.html",,
"DE","DESKTOP","google.de",,,"1","5","Das Nein zu einer längeren Atomkraft-Nutzung bröckelt site:faz.net","SEARCH","http://www.google.de/search?q=Das+Nein+zu+einer+l%C3%A4ngeren+Atomkraft-Nutzung+br%C3%B6ckelt+site%3Afaz.net&num=5","154","2022-07-24T12:00:00.000Z","Neue Töne bei SPD und Grünen: Zwar halten sie die weitere Nutzung von Kernkraft weiter für schlecht, lehnen sie aber nicht mehr rundheraus ab.","https://www.faz.net › FAZ.NET › Politik › Inland","Nutzung",,,,,"2","Atomkraft: Widerstand gegen Laufzeitverlängerung bei ...","organic","https://www.faz.net/aktuell/politik/inland/atomkraft-widerstand-gegen-laufzeitverlaengerung-bei-spd-und-gruenen-18195731.html",,
"DE","DESKTOP","google.de",,,"1","5","Das Nein zu einer längeren Atomkraft-Nutzung bröckelt site:faz.net","SEARCH","http://www.google.de/search?q=Das+Nein+zu+einer+l%C3%A4ngeren+Atomkraft-Nutzung+br%C3%B6ckelt+site%3Afaz.net&num=5","154","2022-03-03T12:00:00.000Z","Um die Versorgung zu sichern, will Wirtschaftsminister Habeck die drei verbliebenen deutschen AKWs notfalls länger laufen lassen.","https://www.faz.net › FAZ.NET › Wirtschaft",,,,,,"3","Die Grünen streiten über Atomkraft und Energieversorgung","organic","https://www.faz.net/aktuell/wirtschaft/die-gruenen-streiten-ueber-atomkraft-und-energieversorgung-17849568.html",,
"DE","DESKTOP","google.de",,,"1","5","Das Nein zu einer längeren Atomkraft-Nutzung bröckelt site:faz.net","SEARCH","http://www.google.de/search?q=Das+Nein+zu+einer+l%C3%A4ngeren+Atomkraft-Nutzung+br%C3%B6ckelt+site%3Afaz.net&num=5","154","2022-07-18T12:00:00.000Z","Atomkraft. Das Nein zu einer längeren Atomkraft-Nutzung bröckelt. Die Grünenchefin will alle Maßnahmen prüfen, das Wirtschaftsministerium ...","https://www.faz.net › artikel-chronik › nachrichten-202...","Das Nein zu einer längeren Atomkraft","Nutzung bröckelt",,,,"4","Chronik vom 18.07.2022: Nachrichten und Meldungen","organic","https://www.faz.net/artikel-chronik/nachrichten-2022-juli-18/",,
"DE","DESKTOP","google.de",,,"1","5","Atomkraft hilft eben doch site:faz.net","SEARCH","http://www.google.de/search?q=Atomkraft+hilft+eben+doch+site%3Afaz.net&num=5","603","2022-07-16T12:00:00.000Z","Atomkraft hilft eben doch. Von Morten Freidel. 16.07.2022, 10:14 ... Gegen Gasknappheit „hilft Atomkraft gar nichts“, sagte er in Wien. Dem ...","https://www.faz.net › FAZ.NET › Politik › Inland","Atomkraft hilft eben doch","hilft Atomkraft",,,,"1","Energiemangel: Atomkraft kann bei den Problemen helfen","organic","https://www.faz.net/aktuell/politik/inland/energiemangel-atomkraft-kann-bei-den-problemen-helfen-18175549.html",,
