web-scraper-order,web-scraper-start-url,pageanation,pageanation-href,url,url-href,topic,date
"1717580231-1","https://www.nd-aktuell.de/suche/index.php?and=akw+laufzeit+kernkraft+atomausstieg+kernenergie+atomenergie+laufzeitverl%C3%A4ngerung+kernkraftwerk+atomkraftwerk+atomkraft&search=Suchen&s0_d=01&s0_m=07&s0_y=2022&s1_d=31&s1_m=12&s1_y=2022&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&display=0","","","Unaufhaltsamer Vormarsch der Erneuerbaren","https://www.nd-aktuell.de/artikel/1169704.atomausstieg-unaufhaltsamer-vormarsch-der-erneuerbaren.html?sstr=","Atomausstieg
													Wirtschaft und Umwelt","29.12.2022"
"1717580231-2","https://www.nd-aktuell.de/suche/index.php?and=akw+laufzeit+kernkraft+atomausstieg+kernenergie+atomenergie+laufzeitverl%C3%A4ngerung+kernkraftwerk+atomkraftwerk+atomkraft&search=Suchen&s0_d=01&s0_m=07&s0_y=2022&s1_d=31&s1_m=12&s1_y=2022&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&display=0","","","Atomausstieg als Erfolgsgeschichte","https://www.nd-aktuell.de/artikel/1169700.energiewende-atomausstieg-als-erfolgsgeschichte.html?sstr=","Energiewende
													Wirtschaft und Umwelt","29.12.2022"
"1717580231-3","https://www.nd-aktuell.de/suche/index.php?and=akw+laufzeit+kernkraft+atomausstieg+kernenergie+atomenergie+laufzeitverl%C3%A4ngerung+kernkraftwerk+atomkraftwerk+atomkraft&search=Suchen&s0_d=01&s0_m=07&s0_y=2022&s1_d=31&s1_m=12&s1_y=2022&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&display=0","","","Atomausstieg als Erfolgsgeschichte","https://www.nd-aktuell.de/artikel/1169699.energiewende-atomausstieg-als-erfolgsgeschichte.html?sstr=","Energiewende
													Wirtschaft und Umwelt","29.12.2022"
"1717580231-4","https://www.nd-aktuell.de/suche/index.php?and=akw+laufzeit+kernkraft+atomausstieg+kernenergie+atomenergie+laufzeitverl%C3%A4ngerung+kernkraftwerk+atomkraftwerk+atomkraft&search=Suchen&s0_d=01&s0_m=07&s0_y=2022&s1_d=31&s1_m=12&s1_y=2022&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&display=0","","","Kernfusion mit positiver Energiebilanz","https://www.nd-aktuell.de/artikel/1169376.atomenergie-kernfusion-mit-positiver-energiebilanz.html?sstr=","Atomenergie
													Wirtschaft und Umwelt","15.12.2022"
"1717580231-5","https://www.nd-aktuell.de/suche/index.php?and=akw+laufzeit+kernkraft+atomausstieg+kernenergie+atomenergie+laufzeitverl%C3%A4ngerung+kernkraftwerk+atomkraftwerk+atomkraft&search=Suchen&s0_d=01&s0_m=07&s0_y=2022&s1_d=31&s1_m=12&s1_y=2022&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&display=0","","","Mehr strahlender Müll für Morsleben","https://www.nd-aktuell.de/artikel/1168604.atomkraft-mehr-strahlender-muell-fuer-morsleben.html?sstr=","Atomkraft
													Politik","17.11.2022"
"1717580231-6","https://www.nd-aktuell.de/suche/index.php?and=akw+laufzeit+kernkraft+atomausstieg+kernenergie+atomenergie+laufzeitverl%C3%A4ngerung+kernkraftwerk+atomkraftwerk+atomkraft&search=Suchen&s0_d=01&s0_m=07&s0_y=2022&s1_d=31&s1_m=12&s1_y=2022&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&display=0","","","Schluss mit Beteiligung","https://www.nd-aktuell.de/artikel/1167907.atomkraft-schluss-mit-beteiligung.html?sstr=","Atomkraft
													Politik","21.10.2022"
"1717580231-7","https://www.nd-aktuell.de/suche/index.php?and=akw+laufzeit+kernkraft+atomausstieg+kernenergie+atomenergie+laufzeitverl%C3%A4ngerung+kernkraftwerk+atomkraftwerk+atomkraft&search=Suchen&s0_d=01&s0_m=07&s0_y=2022&s1_d=31&s1_m=12&s1_y=2022&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&display=0","","","Die strahlenden Verlierer","https://www.nd-aktuell.de/artikel/1167793.atomkraft-die-strahlenden-verlierer.html?sstr=","Atomkraft
													Politik","18.10.2022"
"1717580231-8","https://www.nd-aktuell.de/suche/index.php?and=akw+laufzeit+kernkraft+atomausstieg+kernenergie+atomenergie+laufzeitverl%C3%A4ngerung+kernkraftwerk+atomkraftwerk+atomkraft&search=Suchen&s0_d=01&s0_m=07&s0_y=2022&s1_d=31&s1_m=12&s1_y=2022&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&display=0","","","Grüne gehen in die Laufzeitverlängerung","https://www.nd-aktuell.de/artikel/1167737.parteitag-der-gruenen-gruene-gehen-in-die-laufzeitverlaengerung.html?sstr=","Parteitag der Grünen
													Politik","16.10.2022"
"1717580231-9","https://www.nd-aktuell.de/suche/index.php?and=akw+laufzeit+kernkraft+atomausstieg+kernenergie+atomenergie+laufzeitverl%C3%A4ngerung+kernkraftwerk+atomkraftwerk+atomkraft&search=Suchen&s0_d=01&s0_m=07&s0_y=2022&s1_d=31&s1_m=12&s1_y=2022&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&display=0","","","Erwachen in der Umweltbewegung","https://www.nd-aktuell.de/artikel/1167660.parteitag-der-gruenen-erwachen-in-der-umweltbewegung.html?sstr=","Parteitag der Grünen
													Politik","13.10.2022"
"1717580231-10","https://www.nd-aktuell.de/suche/index.php?and=akw+laufzeit+kernkraft+atomausstieg+kernenergie+atomenergie+laufzeitverl%C3%A4ngerung+kernkraftwerk+atomkraftwerk+atomkraft&search=Suchen&s0_d=01&s0_m=07&s0_y=2022&s1_d=31&s1_m=12&s1_y=2022&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&display=0","","","Wenn die FDP plötzlich Greta lobt","https://www.nd-aktuell.de/artikel/1167635.atomkraft-wenn-die-fdp-ploetzlich-greta-lobt.html?sstr=","Atomkraft
													Politik","12.10.2022"
