web-scraper-order,web-scraper-start-url,url_title,url_title-href,topic,date,author
"1717573606-1","https://www.tichyseinblick.de/page/5/?s=kernkraft","Kernkraftwerke gelten in der EU jetzt als „nachhaltig“","https://www.tichyseinblick.de/kolumnen/aus-aller-welt/eu-taxonomie-kernkraftwerke-gelten-in-der-eu-jetzt-als-nachhaltig/","EU Taxonomie:","7. Juli 2022","Holger Douglas"
"1717573606-2","https://www.tichyseinblick.de/page/5/?s=kernkraft","Die Kernkraftwerke können weiterlaufen","https://www.tichyseinblick.de/kolumnen/lichtblicke-kolumnen/expertenanhoerung-im-bayerischen-landtag-die-kernkraftwerke-koennen-weiterlaufen/","Expertenanhörung im Bayerischen Landtag","17. Mai 2022","Holger Douglas"
"1717573606-3","https://www.tichyseinblick.de/page/5/?s=kernkraft","Boris Johnson: »Jedes Jahr ein neues Kernkraftwerk«","https://www.tichyseinblick.de/daili-es-sentials/boris-johnson-jedes-jahr-ein-neues-kernkraftwerk/","Britische Energiepolitik","8. April 2022","Holger Douglas"
"1717573606-4","https://www.tichyseinblick.de/page/5/?s=kernkraft","Boris Johnson will neue Kernkraftwerke statt Windindustrieanlagen","https://www.tichyseinblick.de/kolumnen/lichtblicke-kolumnen/boris-johnson-will-neue-kernkraftwerke-statt-windindustrieanlagen/","Zeitenwende – Energiewende?","5. April 2022","Holger Douglas"
"1717573606-5","https://www.tichyseinblick.de/page/5/?s=kernkraft","Wirtschaftsweise: Kernkraftwerke am Netz lassen – TE Wecker am 31. März 2022","https://www.tichyseinblick.de/podcast/te-wecker-am-31-maerz-2022/","DER PODCAST AM MORGEN","31. März 2022","Holger Douglas"
"1717573606-6","https://www.tichyseinblick.de/page/5/?s=kernkraft","Kernkraftwerke: Kommt der Ausstieg vom Ausstieg?","https://www.tichyseinblick.de/kolumnen/lichtblicke-kolumnen/kernkraftwerke-kommt-der-ausstieg-vom-ausstieg/","Brandbrief an die Bundesregierung","25. März 2022","Holger Douglas"
"1717573606-7","https://www.tichyseinblick.de/page/5/?s=kernkraft","Denken ohne Denkverbote: Kernkraft, Kohle, Fracking?","https://www.tichyseinblick.de/kolumnen/lichtblicke-kolumnen/erdgas-denken-ohne-denkverbote-kernkraft-kohle-fracking/","Erdgas wird knapp und teuer","20. März 2022","Frank Hennig"
"1717573606-8","https://www.tichyseinblick.de/page/5/?s=kernkraft","„Keine Tabus mehr“ – Können die Kernkraftwerke in Deutschland weiterbetrieben werden?","https://www.tichyseinblick.de/kolumnen/lichtblicke-kolumnen/kernenergie-keine-tabus-mehr-kernkraftwerke-deutschland/","Energiewende komplett FUBAR","28. Februar 2022","Manfred Haferburg"
"1717573606-9","https://www.tichyseinblick.de/page/5/?s=kernkraft","Ist Strom aus Kernkraft und Gaskraftwerken „grün“?","https://www.tichyseinblick.de/kolumnen/lichtblicke-kolumnen/ist-strom-aus-kernkraft-und-gaskraftwerken-gruen/","Taxonomie der EU-Verordnung 2021/2139","10. Februar 2022","Gastautor"
"1717573606-10","https://www.tichyseinblick.de/page/5/?s=kernkraft","Macron erwartet die deutsche Kapitulation in Sachen Kernkraft","https://www.tichyseinblick.de/kolumnen/lichtblicke-kolumnen/kernkraft-abschaltung-gruene-energie/","In einem Taxi nach Paris","4. Januar 2022","Frank Hennig"
"1717573606-11","https://www.tichyseinblick.de/page/5/?s=kernkraft","Weiter Wirbel um grüne Kernkraft – TE Wecker am 4. Januar 2022","https://www.tichyseinblick.de/podcast/te-wecker-am-4-januar-2022/","DER PODCAST AM MORGEN","4. Januar 2022","Holger Douglas"
"1717573606-12","https://www.tichyseinblick.de/page/5/?s=kernkraft","Deutschland stellt Atomkraftwerke ab und muss dafür Kernkraftwerke in der EU finanzieren","https://www.tichyseinblick.de/tichys-einblick/atomkraftwerke-deutschland-eu/","Der Ampel doppeltes Spiel","2. Januar 2022","Roland Tichy"
"1717573606-13","https://www.tichyseinblick.de/page/5/?s=kernkraft","Zwei neue Kernkraftwerke für die Niederlande","https://www.tichyseinblick.de/kolumnen/aus-aller-welt/zwei-neue-kernkraftwerke-fuer-die-niederlande/","Wiederherstellung des Vertrauens","18. Dezember 2021","Holger Douglas"
"1717573606-14","https://www.tichyseinblick.de/page/5/?s=kernkraft","Großer Teil der Deutschen ist offen für Kernkraft","https://www.tichyseinblick.de/meinungen/umfrage-atomenergie/","Internationale Umfrage zur Atomenergie","9. Dezember 2021","Holger Douglas"
"1717573606-15","https://www.tichyseinblick.de/page/5/?s=kernkraft","Tichys Ausblick Talk: „Energiekrise spitzt sich zu – letzte Rettung Kernkraft?“","https://www.tichyseinblick.de/video/tichys-ausblick/energiekrise-haferburg-ruprecht-lengsfeld/","Sendung 28.10.2021","28. Oktober 2021","Redaktion"
"1717573610-16","https://www.tichyseinblick.de/page/4/?s=kernkraft","Habeck: Jetzt doch zwei Kernkraftwerke – TE Wecker am 28. September 2022","https://www.tichyseinblick.de/podcast/kopie-von-te-wecker-am-28-september-2022/","DER PODCAST AM MORGEN","28. September 2022","Holger Douglas"
"1717573610-17","https://www.tichyseinblick.de/page/4/?s=kernkraft","Zwei Kernkraftwerke sollten weiter laufen – Realität schlägt Ideologie","https://www.tichyseinblick.de/daili-es-sentials/zwei-kernkraftwerke-sollten-weiter-laufen-ein-erster-fortschritt-mehr-geht-auch/","Grüne Dummheiten","27. September 2022","Roland Tichy"
"1717573610-18","https://www.tichyseinblick.de/page/4/?s=kernkraft","Land ohne Strom: Parteiengezänk um Kernkraft – TE Wecker am 23. September 2022","https://www.tichyseinblick.de/podcast/te-wecker-am-23-september-2022/","DER PODCAST AM MORGEN","23. September 2022","Holger Douglas"
"1717573610-19","https://www.tichyseinblick.de/page/4/?s=kernkraft","Kernkraftwerke: Einmal erkaltet, ist das Hochfahren aufwändig","https://www.tichyseinblick.de/kolumnen/klima-durchblick/kernkraftwerke-einmal-erkaltet-ist-das-hochfahren-aufwaendig/","Lehrstunde für Habeck","22. September 2022","Gastautor"
"1717573610-20","https://www.tichyseinblick.de/page/4/?s=kernkraft","Aufruf zum Weiterbetrieb der Kernkraftwerke – Atomdebatte kommt in den Bundestag","https://www.tichyseinblick.de/daili-es-sentials/aufruf-zum-weiterbetrieb-der-kernkraftwerke-atomdebatte-kommt-in-den-bundestag/","Stuttgarter Erklärung","18. September 2022","Alexander Wendt"
"1717573610-21","https://www.tichyseinblick.de/page/4/?s=kernkraft","Habeck: Zwei von drei Kernkraftwerken sollen länger „in Reserve“ bleiben","https://www.tichyseinblick.de/daili-es-sentials/habeck-zwei-von-drei-kernkraftwerken/","Wirrwarr-Plan","5. September 2022","Redaktion"
"1717573610-22","https://www.tichyseinblick.de/page/4/?s=kernkraft","Die Grünen riskieren mit ihrem Anti-Kernkraft-Dogma die Energiesicherheit","https://www.tichyseinblick.de/meinungen/habeck-kernkraft-gruene/","Willkommen im grünen Disneyland","3. September 2022","Klaus-Rüdiger Mai"
"1717573610-23","https://www.tichyseinblick.de/page/4/?s=kernkraft","Jenseits der Wissenschaft: Die grüne Kernkraftposse","https://www.tichyseinblick.de/meinungen/gruene-jenseits-der-wissenschaft-atomkraft/","""Täuschung des Volks über die Atomkraft""","27. August 2022","Klaus-Rüdiger Mai"
"1717573610-24","https://www.tichyseinblick.de/page/4/?s=kernkraft","DIHK-Vizepräsident Olbricht fordert Neubau von Kernkraftwerken","https://www.tichyseinblick.de/daili-es-sentials/te-09-2022-dihk-olbricht-neubau-kernkraftwerke/","TE-Interview 09-2022","16. August 2022","Redaktion"
"1717573610-25","https://www.tichyseinblick.de/page/4/?s=kernkraft","Das Kernkraftwerk in Saporischschija und Russlands Politik der verbrannten Erde","https://www.tichyseinblick.de/kolumnen/spahns-spitzwege/saporischschija-ukraine-russland/","Kindisch, aber gefährlich","11. August 2022","Tomas Spahn"
"1717573610-26","https://www.tichyseinblick.de/page/4/?s=kernkraft","Energiepolitik im Streckbetrieb – Habeck und Lemke zum Weiterbetrieb von Kernkraftwerken","https://www.tichyseinblick.de/kolumnen/klima-durchblick/energiepolitik-streckbetrieb/","Sachverhalt falsch dargestellt","4. August 2022","Fritz Vahrenholt"
"1717573610-27","https://www.tichyseinblick.de/page/4/?s=kernkraft","Bewegung in der Kernkraftdebatte – TE Wecker am 29. Juli 2022","https://www.tichyseinblick.de/podcast/te-wecker-am-29-juli-2022/","DER PODCAST AM MORGEN","29. Juli 2022","Holger Douglas"
"1717573610-28","https://www.tichyseinblick.de/page/4/?s=kernkraft","Stuttgarter Erklärung: Professoren fordern Weiterbetrieb der Kernkraftwerke","https://www.tichyseinblick.de/daili-es-sentials/stuttgarter-erklaerung/","Energiekrise in Deutschland","27. Juli 2022","Holger Douglas"
"1717573610-29","https://www.tichyseinblick.de/page/4/?s=kernkraft","Bei der Kernkraft will die Regierung keine anderen Meinungen hören","https://www.tichyseinblick.de/meinungen/bei-der-kernkraft-will-die-regierung-keine-anderen-meinungen-hoeren/","Die Behörde, die Behörde hat immer Recht!","17. Juli 2022","Marco Gallina"
"1717573610-30","https://www.tichyseinblick.de/page/4/?s=kernkraft","Die Bundesregierung trickst bei der Abschaltung der Kernkraft","https://www.tichyseinblick.de/meinungen/die-bundesregierung-abschaltung-der-kernkraft/","EXKLUSIV","14. Juli 2022","Marco Gallina"
"1717573614-31","https://www.tichyseinblick.de/page/3/?s=kernkraft","Fukushima-Jahrestag: für Grüne und ARD ein Agitationstag gegen Kernkraft","https://www.tichyseinblick.de/daili-es-sentials/fukushima-jahrestag-gruene-agitationstag-gegen-kernkraft/","Kompetenzschmelze","13. März 2023","Redaktion"
"1717573614-32","https://www.tichyseinblick.de/page/3/?s=kernkraft","RWE-Chef hält die drei letzten deutschen Kernkraftwerke für verzichtbar","https://www.tichyseinblick.de/daili-es-sentials/rwe-haelt-deutsche-kernkraftwerke-fuer-verzichtbar/","Ohne teures Gas geht es nicht","8. Februar 2023","Holger Douglas"
"1717573614-33","https://www.tichyseinblick.de/page/3/?s=kernkraft","Keine deutsche Technik für Ungarns Kernkraftwerk? Habecks Amt verweigert Export-Genehmigung","https://www.tichyseinblick.de/wirtschaft/keine-export-genehmigung-kkw-ungarn/","Lieferung von Technik","4. Februar 2023","Redaktion"
"1717573614-34","https://www.tichyseinblick.de/page/3/?s=kernkraft","CDU gegen Kernkraftwerke, um sich koalitionsfähig mit den Grünen zu machen","https://www.tichyseinblick.de/meinungen/cdu-klausurtagung-papier-kopie-gruene/","Die CDU schärft ihr ""grünes"" Profil","15. Januar 2023","Klaus-Rüdiger Mai"
"1717573614-35","https://www.tichyseinblick.de/page/3/?s=kernkraft","Der gelbe Wissing begründet sein Plädoyer für Kernkraftwerke grün","https://www.tichyseinblick.de/daili-es-sentials/wissing-bas-kernkraftwerke/","Ideologie gegen Verstand","3. Januar 2023","Redaktion"
"1717573614-36","https://www.tichyseinblick.de/page/3/?s=kernkraft","Kernkraft senkt die Strompreise in Deutschland","https://www.tichyseinblick.de/kolumnen/klima-durchblick/strompreise-deutschland-kernkraft/","Strompreissimulation","14. Dezember 2022","Gastautor"
"1717573614-37","https://www.tichyseinblick.de/page/3/?s=kernkraft","60.000 Unterschriften für Weiterbetrieb der Kernkraftwerke","https://www.tichyseinblick.de/daili-es-sentials/kernkraftwerke-petition-erfolgreich-unterschriften-weiterbetrieb-akw/","Petition erfolgreich:","6. November 2022","Redaktion"
"1717573614-38","https://www.tichyseinblick.de/page/3/?s=kernkraft","Wissenschaftler plädieren im Bundestag für Kernkraft","https://www.tichyseinblick.de/daili-es-sentials/wissenschaftler-plaedieren-im-bundestag-fuer-kernkraft/","Petition pro Atomkraft","4. November 2022","Redaktion"
"1717573614-39","https://www.tichyseinblick.de/page/3/?s=kernkraft","Kabinett berät über Weiterbetrieb der letzten drei Kernkraftwerke – TE Wecker am 19. Oktober 2022","https://www.tichyseinblick.de/podcast/te-wecker-am-19-oktober-2022/","DER PODCAST AM MORGEN","19. Oktober 2022","Holger Douglas"
"1717573614-40","https://www.tichyseinblick.de/page/3/?s=kernkraft","Kernkraftwerke in Leistungs-, Reserve- oder Streckbetrieb?","https://www.tichyseinblick.de/daili-es-sentials/machtwort-kernkraftwerke-im-leistungsbetrieb-oder-reservebetrieb-oder-streckbetrieb/","Ein »Machtwort« auf Zeit","18. Oktober 2022","Holger Douglas"
