web-scraper-order,web-scraper-start-url,link,link-href
"1717577994-1","https://www.zeit.de/suche/index?q=-saporischschja+atomausstieg%7Ckernenergie%7Ckernkraft%2A+%7Catomkraft%2A%7Catomenergie%7Cakw%7Claufzeitverl%C3%A4ngerung&type=article&type=gallery&type=video&type=author&type=manualtopic&p=133","Ukraine-Überblick: Kämpfe in der Ostukraine verlagern sich nach Donezk","https://www.zeit.de/politik/ausland/2022-07/ukraine-ueberblick"
"1717577994-2","https://www.zeit.de/suche/index?q=-saporischschja+atomausstieg%7Ckernenergie%7Ckernkraft%2A+%7Catomkraft%2A%7Catomenergie%7Cakw%7Claufzeitverl%C3%A4ngerung&type=article&type=gallery&type=video&type=author&type=manualtopic&p=133","Erneuerbare Energien: Ökostromanteil steigt wieder auf 49 Prozent","https://www.zeit.de/wirtschaft/2022-07/erneuerbare-energien-oekostrom-anteil-halbjahr-windenergie"
"1717577994-3","https://www.zeit.de/suche/index?q=-saporischschja+atomausstieg%7Ckernenergie%7Ckernkraft%2A+%7Catomkraft%2A%7Catomenergie%7Cakw%7Claufzeitverl%C3%A4ngerung&type=article&type=gallery&type=video&type=author&type=manualtopic&p=133","Lars Klingbeil: SPD-Chef sieht Deutschland vor ""dramatischen Monaten""","https://www.zeit.de/politik/deutschland/2022-07/gasversorgung-lars-klingbeil-industrie-gasknappheit"
"1717577994-4","https://www.zeit.de/suche/index?q=-saporischschja+atomausstieg%7Ckernenergie%7Ckernkraft%2A+%7Catomkraft%2A%7Catomenergie%7Cakw%7Claufzeitverl%C3%A4ngerung&type=article&type=gallery&type=video&type=author&type=manualtopic&p=133","Energiepolitik: Du bist, was du verbrauchst","https://www.zeit.de/kultur/2022-07/energiepolitik-ideologie-oelkrise-eneuerbare-energie"
"1717577994-5","https://www.zeit.de/suche/index?q=-saporischschja+atomausstieg%7Ckernenergie%7Ckernkraft%2A+%7Catomkraft%2A%7Catomenergie%7Cakw%7Claufzeitverl%C3%A4ngerung&type=article&type=gallery&type=video&type=author&type=manualtopic&p=133","Energiewende Bayern: Die Herren der Winde","https://www.zeit.de/2022/27/energiewende-bayern-markus-soeder-windkraft"
"1717577994-6","https://www.zeit.de/suche/index?q=-saporischschja+atomausstieg%7Ckernenergie%7Ckernkraft%2A+%7Catomkraft%2A%7Catomenergie%7Cakw%7Claufzeitverl%C3%A4ngerung&type=article&type=gallery&type=video&type=author&type=manualtopic&p=133","Brabus: Eine einzige Provokation","https://www.zeit.de/2022/27/auto-brabus-tuning-klimawandel-benzin"
"1717577994-7","https://www.zeit.de/suche/index?q=-saporischschja+atomausstieg%7Ckernenergie%7Ckernkraft%2A+%7Catomkraft%2A%7Catomenergie%7Cakw%7Claufzeitverl%C3%A4ngerung&type=article&type=gallery&type=video&type=author&type=manualtopic&p=133","Angela Merkels Außenpolitik: ""Das war Kumpanei mit Putin""","https://www.zeit.de/2022/27/angela-merkel-aussenpolitik-russland-wladimir-putin"
"1717577994-8","https://www.zeit.de/suche/index?q=-saporischschja+atomausstieg%7Ckernenergie%7Ckernkraft%2A+%7Catomkraft%2A%7Catomenergie%7Cakw%7Claufzeitverl%C3%A4ngerung&type=article&type=gallery&type=video&type=author&type=manualtopic&p=133","Christian Lindner: Ein aufrechter Pfosten","https://www.zeit.de/kultur/2022-06/christian-lindner-fdp-finanzminister-politik"
"1717577994-9","https://www.zeit.de/suche/index?q=-saporischschja+atomausstieg%7Ckernenergie%7Ckernkraft%2A+%7Catomkraft%2A%7Catomenergie%7Cakw%7Claufzeitverl%C3%A4ngerung&type=article&type=gallery&type=video&type=author&type=manualtopic&p=133","Frankreich: Le Pens Woche","https://www.zeit.de/politik/ausland/2022-07/frankreich-marine-le-pen-rassemblement-national-parlament"
"1717577994-10","https://www.zeit.de/suche/index?q=-saporischschja+atomausstieg%7Ckernenergie%7Ckernkraft%2A+%7Catomkraft%2A%7Catomenergie%7Cakw%7Claufzeitverl%C3%A4ngerung&type=article&type=gallery&type=video&type=author&type=manualtopic&p=133","Atomkraft: Ideologiefrei? Eher einseitig","https://www.zeit.de/2022/27/atomkraft-robert-habeck-kohlekraft-klimawandel"
"1717577997-11","https://www.zeit.de/suche/index?q=-saporischschja+atomausstieg%7Ckernenergie%7Ckernkraft%2A+%7Catomkraft%2A%7Catomenergie%7Cakw%7Claufzeitverl%C3%A4ngerung&type=article&type=gallery&type=video&type=author&type=manualtopic&p=132","Energiepolitik: Bundestag stimmt für mögliche Kohleverstromung als Gasersatz","https://www.zeit.de/politik/deutschland/2022-07/gaskrise-bundestag-kohlekraftwerke-stromerzeugung-gesetzaenderung"
