"searchQuery/countryCode","searchQuery/device","searchQuery/domain","searchQuery/languageCode","searchQuery/locationUule","searchQuery/page","searchQuery/resultsPerPage","searchQuery/term","searchQuery/type","searchQuery/url","resultsTotal","date","description","displayedUrl","emphasizedKeywords/0","emphasizedKeywords/1","emphasizedKeywords/2","emphasizedKeywords/3","emphasizedKeywords/4","position","title","type","url","emphasizedKeywords/5","emphasizedKeywords/6","emphasizedKeywords/7"
"DE","DESKTOP","google.de",,,"1","5","Rechnungshof warnt vor Bürgergeld-Missbrauch site:faz.net","SEARCH","http://www.google.de/search?q=Rechnungshof+warnt+vor+B%C3%BCrgergeld-Missbrauch+site%3Afaz.net&num=5","22","2022-10-17T12:00:00.000Z","Die Prüfer warnen unter anderem vor massiven Fehlanreizen. Geld könnte auch bekommen, wer es gar nicht benötige.","https://www.faz.net › FAZ.NET › Politik","vor",,,,,"1","Rechnungshof warnt vor Bürgergeld-Missbrauch","organic","https://www.faz.net/aktuell/politik/buergergeld-rechnungshof-warnt-vor-missbrauch-der-sozialleistung-18392525.html",,,
"DE","DESKTOP","google.de",,,"1","5","Rechnungshof warnt vor Bürgergeld-Missbrauch site:faz.net","SEARCH","http://www.google.de/search?q=Rechnungshof+warnt+vor+B%C3%BCrgergeld-Missbrauch+site%3Afaz.net&num=5","22","2022-04-11T12:00:00.000Z","Das Bürgergeld bringt die Jobcenter in Not · Neue Sozialleistung. Rechnungshof warnt vor Bürgergeld-Missbrauch. Neu ist auch, dass ...","https://www.faz.net › FAZ.NET › Politik","Rechnungshof warnt vor Bürgergeld","Missbrauch",,,,"2","Hubertus Heil geht beim Bürgergeld auf die Union zu","organic","https://www.faz.net/aktuell/politik/hubertus-heil-geht-beim-buergergeld-auf-die-union-zu-18438322.html",,,
"DE","DESKTOP","google.de",,,"1","5","Rechnungshof warnt vor Bürgergeld-Missbrauch site:faz.net","SEARCH","http://www.google.de/search?q=Rechnungshof+warnt+vor+B%C3%BCrgergeld-Missbrauch+site%3Afaz.net&num=5","22","2022-10-30T12:00:00.000Z","Die Kommunen sind am Limit – und nun? Neue Sozialleistung. Rechnungshof warnt vor Bürgergeld-Missbrauch · Arbeitsagentur-Chefin Nahles. „Wir ...","https://www.faz.net › FAZ.NET › Wirtschaft","Rechnungshof warnt vor Bürgergeld","Missbrauch",,,,"3","Das Bürgergeld bringt die Jobcenter in Not","organic","https://www.faz.net/aktuell/wirtschaft/buergergeld-bringt-mit-ueberlastung-der-verwaltung-die-jobcenter-in-not-18424365.html",,,
"DE","DESKTOP","google.de",,,"1","5","Rechnungshof warnt vor Bürgergeld-Missbrauch site:faz.net","SEARCH","http://www.google.de/search?q=Rechnungshof+warnt+vor+B%C3%BCrgergeld-Missbrauch+site%3Afaz.net&num=5","22",,"Rechnungshof warnt vor verfassungswidrigen Haushalten ... Eine zentrale Finanzierungsidee der Regierung hat das Verfassungsgericht schon kassiert. Nun warnt ...","https://www.faz.net › aktuell › wirtschaft › thema › rec...","Rechnungshof warnt vor",,,,,"4","Rechnungshof aktuell: News und Informationen der ...","organic","https://www.faz.net/aktuell/wirtschaft/thema/rechnungshof",,,
"DE","DESKTOP","google.de",,,"1","5","Rechnungshof warnt vor Bürgergeld-Missbrauch site:faz.net","SEARCH","http://www.google.de/search?q=Rechnungshof+warnt+vor+B%C3%BCrgergeld-Missbrauch+site%3Afaz.net&num=5","22",,"Rechnungshof warnt vor Bürgergeld-Missbrauch ... Die Prüfer warnen unter anderem vor massiven Fehlanreizen. Geld könnte auch bekommen, wer es gar nicht benötige.","https://www.faz.net › aktuell › thema › buergergeld-p5","Rechnungshof warnt vor Bürgergeld","Missbrauch",,,,"5","Bürgergeld: Aktuelle News | Nachrichten der FAZ","organic","https://www.faz.net/aktuell/wirtschaft/thema/buergergeld-p5",,,
"DE","DESKTOP","google.de",,,"1","5","Rechnungshof zerpflückt geplante Bürgergeld-Reform site:faz.net","SEARCH","http://www.google.de/search?q=Rechnungshof+zerpfl%C3%BCckt+geplante+B%C3%BCrgergeld-Reform+site%3Afaz.net&num=5","5","2022-10-17T12:00:00.000Z","Sollen Familien mit einem Vermögen von mehreren Hunderttausend Euro die sozialstaatliche Grundsicherung als Einkommensquelle nutzen können?","https://www.faz.net › FAZ.NET › Wirtschaft",,,,,,"1","Rechnungshof zerpflückt geplante Bürgergeld-Reform","organic","https://www.faz.net/aktuell/wirtschaft/rechnungshof-zerpflueckt-geplante-buergergeld-reform-18393813.html",,,
"DE","DESKTOP","google.de",,,"1","5","Rechnungshof zerpflückt geplante Bürgergeld-Reform site:faz.net","SEARCH","http://www.google.de/search?q=Rechnungshof+zerpfl%C3%BCckt+geplante+B%C3%BCrgergeld-Reform+site%3Afaz.net&num=5","5",,"Nutzt bitte den Bundeshaushalt: Der Bundesrechnungshof hält eine Finanzierung des Energiekosten-Abwehrschirms aus dem Haushalt für möglich.","https://www.faz.net › Nachrichten bei faz.net › Wirtschaft",,,,,,"2","Rechnungshof zerpflückt geplante Bürgergeld-Reform","organic","https://www.faz.net/aktuell/wirtschaft/rechnungshof-zerpflueckt-geplante-buergergeld-reform-18393813/nutzt-bitte-den-18394405.html",,,
"DE","DESKTOP","google.de",,,"1","5","Rechnungshof zerpflückt geplante Bürgergeld-Reform site:faz.net","SEARCH","http://www.google.de/search?q=Rechnungshof+zerpfl%C3%BCckt+geplante+B%C3%BCrgergeld-Reform+site%3Afaz.net&num=5","5",,"Der Bundesrechnungshof schießt sich auf Verteidigungsminister Pistorius ein: Der Wehretat enthalte schwere strukturelle Fehler und die geplante ...","https://www.faz.net › aktuell › wirtschaft › thema › rec...","geplante",,,,,"3","Rechnungshof aktuell: News und Informationen der ...","organic","https://www.faz.net/aktuell/wirtschaft/thema/rechnungshof",,,
"DE","DESKTOP","google.de",,,"1","5","Rechnungshof zerpflückt geplante Bürgergeld-Reform site:faz.net","SEARCH","http://www.google.de/search?q=Rechnungshof+zerpfl%C3%BCckt+geplante+B%C3%BCrgergeld-Reform+site%3Afaz.net&num=5","5",,"Rechnungshof zerpflückt geplante Bürgergeld-Reform. Auch Familien mit Haus, zwei Autos und gut gefülltem Bankkonto könnten künftig Grundsicherung beziehen ...","https://www.faz.net › nachrichten-2022-oktober-17","Rechnungshof zerpflückt geplante Bürgergeld","Reform",,,,"4","Chronik vom 17.10.2022: Nachrichten und Meldungen","organic","https://www.faz.net/artikel-chronik/nachrichten-2022-oktober-17/",,,
"DE","DESKTOP","google.de",,,"1","5","Das Bürgergeld führt nicht zum Ziel site:faz.net","SEARCH","http://www.google.de/search?q=Das+B%C3%BCrgergeld+f%C3%BChrt+nicht+zum+Ziel+site%3Afaz.net&num=5","3680","2024-01-26T12:00:00.000Z","Erst schaffte man Sanktionen gegen Arbeitsverweigerer ab. Dann führte man sie in leicht abgemilderter Form wieder ein. Und nun will man „ ...","https://www.faz.net › FAZ.NET › Wirtschaft",,,,,,"1","Umgang der Ampel mit dem Bürgergeld: Reformeifer ohne ...","organic","https://www.faz.net/aktuell/wirtschaft/umgang-der-ampel-mit-dem-buergergeld-reformeifer-ohne-ziel-19463704.html",,,
