web-scraper-order,web-scraper-start-url,pageanation,pageanation-href,url,url-href,topic,date
"1717260940-1","https://www.nd-aktuell.de/suche/index.php?and=b%C3%BCrgergeld&search=Suchen&s0_d=01&s0_m=07&s0_y=2022&s1_d=31&s1_m=12&s1_y=2022&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&searchfields%5B%5D=3&display=0","","","Aufgehübschtes Armutsgesetz","https://www.nd-aktuell.de/artikel/1169727.buergergeld-aufgehuebschtes-armutsgesetz.html?sstr=b%C3%BCrgergeld","Bürgergeld
													Politik","30.12.2022"
"1717260940-2","https://www.nd-aktuell.de/suche/index.php?and=b%C3%BCrgergeld&search=Suchen&s0_d=01&s0_m=07&s0_y=2022&s1_d=31&s1_m=12&s1_y=2022&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&searchfields%5B%5D=3&display=0","","","»Die Teuerung trifft Menschen mit geringem Einkommen eher«","https://www.nd-aktuell.de/artikel/1169629.folgen-der-inflation-die-teuerung-trifft-menschen-mit-geringem-einkommen-eher.html?sstr=b%C3%BCrgergeld","Folgen der Inflation
													Wirtschaft und Umwelt","26.12.2022"
"1717260940-3","https://www.nd-aktuell.de/suche/index.php?and=b%C3%BCrgergeld&search=Suchen&s0_d=01&s0_m=07&s0_y=2022&s1_d=31&s1_m=12&s1_y=2022&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&searchfields%5B%5D=3&display=0","","","Längst nicht scharf genug gebremst","https://www.nd-aktuell.de/artikel/1169421.strom-und-gaspreisbremse-laengst-nicht-scharf-genug-gebremst.html?sstr=b%C3%BCrgergeld","Strom- und Gaspreisbremse
													Wirtschaft und Umwelt","16.12.2022"
"1717260940-4","https://www.nd-aktuell.de/suche/index.php?and=b%C3%BCrgergeld&search=Suchen&s0_d=01&s0_m=07&s0_y=2022&s1_d=31&s1_m=12&s1_y=2022&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&searchfields%5B%5D=3&display=0","","","Mit Bürger-Hartz noch immer arm","https://www.nd-aktuell.de/artikel/1169398.soziales-mit-buerger-hartz-noch-immer-arm.html?sstr=b%C3%BCrgergeld","Soziales
													Berlin","16.12.2022"
"1717260940-5","https://www.nd-aktuell.de/suche/index.php?and=b%C3%BCrgergeld&search=Suchen&s0_d=01&s0_m=07&s0_y=2022&s1_d=31&s1_m=12&s1_y=2022&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&searchfields%5B%5D=3&display=0","","","Leben im Konjunktiv","https://www.nd-aktuell.de/artikel/1169090.buergergeld-leben-im-konjunktiv.html?sstr=b%C3%BCrgergeld","Bürgergeld
													Kommentare","05.12.2022"
"1717260940-6","https://www.nd-aktuell.de/suche/index.php?and=b%C3%BCrgergeld&search=Suchen&s0_d=01&s0_m=07&s0_y=2022&s1_d=31&s1_m=12&s1_y=2022&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&searchfields%5B%5D=3&display=0","","","Klassenkampf und Kulturkampf","https://www.nd-aktuell.de/artikel/1168953.staatsbuergerschaftsgesetz-klassenkampf-und-kulturkampf.html?sstr=b%C3%BCrgergeld","Staatsbürgerschaftsgesetz
													Kommentare","30.11.2022"
"1717260940-7","https://www.nd-aktuell.de/suche/index.php?and=b%C3%BCrgergeld&search=Suchen&s0_d=01&s0_m=07&s0_y=2022&s1_d=31&s1_m=12&s1_y=2022&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&searchfields%5B%5D=3&display=0","","","Ein Zeichen gegen Rechts","https://www.nd-aktuell.de/artikel/1168878.gewerkschaften-und-die-afd-ein-zeichen-gegen-rechts.html?sstr=b%C3%BCrgergeld","Gewerkschaften und die AfD
													Kommentare","27.11.2022"
"1717260940-8","https://www.nd-aktuell.de/suche/index.php?and=b%C3%BCrgergeld&search=Suchen&s0_d=01&s0_m=07&s0_y=2022&s1_d=31&s1_m=12&s1_y=2022&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&searchfields%5B%5D=3&display=0","","","Ära Hartz IV ist nicht zu Ende","https://www.nd-aktuell.de/artikel/1168839.buergergeld-aera-hartz-iv-ist-nicht-zu-ende.html?sstr=b%C3%BCrgergeld","Bürgergeld
													Politik","25.11.2022"
"1717260940-9","https://www.nd-aktuell.de/suche/index.php?and=b%C3%BCrgergeld&search=Suchen&s0_d=01&s0_m=07&s0_y=2022&s1_d=31&s1_m=12&s1_y=2022&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&searchfields%5B%5D=3&display=0","","","Der Preis des Dazugehörens","https://www.nd-aktuell.de/artikel/1168830.buergergeld-der-preis-des-dazugehoerens.html?sstr=b%C3%BCrgergeld","Bürgergeld
													Kommentare","25.11.2022"
"1717260940-10","https://www.nd-aktuell.de/suche/index.php?and=b%C3%BCrgergeld&search=Suchen&s0_d=01&s0_m=07&s0_y=2022&s1_d=31&s1_m=12&s1_y=2022&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&searchfields%5B%5D=3&display=0","","","Meloni vergreift sich am Bürgergeld","https://www.nd-aktuell.de/artikel/1168814.rechte-politik-in-italien-meloni-vergreift-sich-am-buergergeld.html?sstr=b%C3%BCrgergeld","Rechte Politik in Italien
													Politik","24.11.2022"
