web-scraper-order,web-scraper-start-url,link,link-href
"1717258506-1","https://www.zeit.de/suche/index?q=b%C3%BCrgergeld&type=article&type=gallery&type=video&type=author&type=manualtopic&p=66","Hubertus Heil: Bundesarbeitsminister kündigt deutliche Erhöhung der Hartz-IV-Sätze an","https://www.zeit.de/politik/deutschland/2022-07/bundesarbeitsminister-hubertus-heil-hartz-4-reform"
"1717258506-2","https://www.zeit.de/suche/index?q=b%C3%BCrgergeld&type=article&type=gallery&type=video&type=author&type=manualtopic&p=66","Sozialer Arbeitsmarkt: Mehr Nutzen als Kosten","https://www.zeit.de/wirtschaft/2022-07/sozialer-arbeitsmarkt-sparplan-haushalt-christian-lindner"
"1717258506-3","https://www.zeit.de/suche/index?q=b%C3%BCrgergeld&type=article&type=gallery&type=video&type=author&type=manualtopic&p=66","Krieg in der Ukraine: Ankommen in einer neuen Wirklichkeit","https://www.zeit.de/2022/27/ukraine-krieg-russland-aussenpolitik"
"1717258506-4","https://www.zeit.de/suche/index?q=b%C3%BCrgergeld&type=article&type=gallery&type=video&type=author&type=manualtopic&p=66","Sozialstaat: Hilfe für ein selbstbestimmtes Leben","https://www.zeit.de/wirtschaft/2022-06/sozialstaat-sozialsystem-sozialleistungen-sozialpolitik"
"1717258506-5","https://www.zeit.de/suche/index?q=b%C3%BCrgergeld&type=article&type=gallery&type=video&type=author&type=manualtopic&p=66","Energiepreise: Ricarda Lang stellt weitere Entlastungen in Aussicht","https://www.zeit.de/politik/deutschland/2022-06/energiepreise-entlastungen-gruene-fdp-schuldenbremse-krieg-ukraine"
"1717258506-6","https://www.zeit.de/suche/index?q=b%C3%BCrgergeld&type=article&type=gallery&type=video&type=author&type=manualtopic&p=66","Ampel-Koalition: Was ist nun mit den Reformen?","https://www.zeit.de/politik/deutschland/2022-06/ampel-koalition-mindestlohn-fluechtlinge-klima-waffen"
"1717258506-7","https://www.zeit.de/suche/index?q=b%C3%BCrgergeld&type=article&type=gallery&type=video&type=author&type=manualtopic&p=66","FDP: Die Sonderlinge der Regierung","https://www.zeit.de/politik/deutschland/2022-06/fdp-bundesregierung-ampel-streit-steuern"
"1717258506-8","https://www.zeit.de/suche/index?q=b%C3%BCrgergeld&type=article&type=gallery&type=video&type=author&type=manualtopic&p=66","Wohlstand in Deutschland: Woher nehmen?","https://www.zeit.de/2022/24/wohlstand-deutschland-wachstum-fdp-inflation"
"1717258506-9","https://www.zeit.de/suche/index?q=b%C3%BCrgergeld&type=article&type=gallery&type=video&type=author&type=manualtopic&p=66","Haushalt 2022: Bundestag ermöglicht zweithöchste Neuverschuldung","https://www.zeit.de/wirtschaft/2022-06/bundestag-haushalt-2022-neuverschuldung-schuldenbremse"
"1717258506-10","https://www.zeit.de/suche/index?q=b%C3%BCrgergeld&type=article&type=gallery&type=video&type=author&type=manualtopic&p=66","Hubertus Heil: Mister Mindestlohn","https://www.zeit.de/arbeit/2022-05/hubertus-heil-arbeitsminister-sozialdemokrat-buerokrat"
"1717258509-11","https://www.zeit.de/suche/index?q=b%C3%BCrgergeld&type=article&type=gallery&type=video&type=author&type=manualtopic&p=65","Energiewende: Warum wir jetzt radikalere Lösungen brauchen","https://www.zeit.de/wirtschaft/2022-07/energiewende-fossile-brennstoffe-erneuerbare-energien-energiepolitik"
"1717258509-12","https://www.zeit.de/suche/index?q=b%C3%BCrgergeld&type=article&type=gallery&type=video&type=author&type=manualtopic&p=65","Statistisches Bundesamt: Inflation in Deutschland verbleibt auf hohem Niveau","https://www.zeit.de/wirtschaft/2022-07/inflation-in-deutschland-sinkt-den-zweiten-monat-in-folge"
"1717258509-13","https://www.zeit.de/suche/index?q=b%C3%BCrgergeld&type=article&type=gallery&type=video&type=author&type=manualtopic&p=65","Monika Schnitzer: ""Viele werden im Winter nicht mehr jeden Raum heizen können""","https://www.zeit.de/wirtschaft/2022-07/monika-schnitzer-bundesregierung-energiekrise-rezession-europa"
"1717258509-14","https://www.zeit.de/suche/index?q=b%C3%BCrgergeld&type=article&type=gallery&type=video&type=author&type=manualtopic&p=65","Nachrichtenpodcast: Tschüss Hartz IV, hallo Bürgergeld?","https://www.zeit.de/politik/2022-07/buergergeld-hubertus-heil-fdp-kritik-nachrichtenpodcast"
"1717258509-15","https://www.zeit.de/suche/index?q=b%C3%BCrgergeld&type=article&type=gallery&type=video&type=author&type=manualtopic&p=65","Bürgergeld: Strafe schadet nur","https://www.zeit.de/arbeit/2022-07/buergergeld-sanktionen-grundeinkommen-foerderung-christian-lindner"
"1717258509-16","https://www.zeit.de/suche/index?q=b%C3%BCrgergeld&type=article&type=gallery&type=video&type=author&type=manualtopic&p=65","Bürgergeld: Das wird noch knallen","https://www.zeit.de/wirtschaft/2022-07/buergergeld-grundsicherung-fdp-sanktionen-ampel-koalition"
