web-scraper-order,web-scraper-start-url,pageanation,pageanation-href,url,url-href,topic,date
"1717529281-1","https://www.nd-aktuell.de/suche/index.php?and=cannabis+oder+legalisieren+oder+legalisierung+oder+legalisiert+oder+bubatz+oder+grass&search=Suchen&s0_d=01&s0_m=10&s0_y=2023&s1_d=31&s1_m=03&s1_y=2024&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&display=0","","","»Der Kopf ist ein verdammt schweres Teil«","https://www.nd-aktuell.de/artikel/1180969.dr-schmidt-erklaert-die-welt-der-kopf-ist-ein-verdammt-schweres-teil.html?sstr=","Dr. Schmidt erklärt die Welt
													Wissen","30.03.2024"
"1717529281-2","https://www.nd-aktuell.de/suche/index.php?and=cannabis+oder+legalisieren+oder+legalisierung+oder+legalisiert+oder+bubatz+oder+grass&search=Suchen&s0_d=01&s0_m=10&s0_y=2023&s1_d=31&s1_m=03&s1_y=2024&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&display=0","","","Teil-Legalisierung - Verfolgung aus Gewohnheit","https://www.nd-aktuell.de/artikel/1181078.cannabis-freigabe-teil-legalisierung-verfolgung-aus-gewohnheit.html?sstr=","Cannabis-Freigabe
													Kommentare","27.03.2024"
"1717529281-3","https://www.nd-aktuell.de/suche/index.php?and=cannabis+oder+legalisieren+oder+legalisierung+oder+legalisiert+oder+bubatz+oder+grass&search=Suchen&s0_d=01&s0_m=10&s0_y=2023&s1_d=31&s1_m=03&s1_y=2024&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&display=0","","","Energiewende in Brandenburg: Keine Kohle für Frankfurt (Oder)","https://www.nd-aktuell.de/artikel/1181041.kohleausstieg-energiewende-in-brandenburg-keine-kohle-fuer-frankfurt-oder.html?sstr=","Kohleausstieg
													Berlin","26.03.2024"
"1717529281-4","https://www.nd-aktuell.de/suche/index.php?and=cannabis+oder+legalisieren+oder+legalisierung+oder+legalisiert+oder+bubatz+oder+grass&search=Suchen&s0_d=01&s0_m=10&s0_y=2023&s1_d=31&s1_m=03&s1_y=2024&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&display=0","","","Sachsen-Kenia: Zerfallserscheinungen auf der Zielgeraden","https://www.nd-aktuell.de/artikel/1181003.koalitionskrach-sachsen-kenia-zerfallserscheinungen-auf-der-zielgeraden.html?sstr=","Koalitionskrach
													Politik","25.03.2024"
"1717529281-5","https://www.nd-aktuell.de/suche/index.php?and=cannabis+oder+legalisieren+oder+legalisierung+oder+legalisiert+oder+bubatz+oder+grass&search=Suchen&s0_d=01&s0_m=10&s0_y=2023&s1_d=31&s1_m=03&s1_y=2024&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&display=0","","","Bundesrat zum Cannabisgesetz: zeitgemäße Entscheidung","https://www.nd-aktuell.de/artikel/1180964.legalisierung-bundesrat-zum-cannabisgesetz-zeitgemaesse-entscheidung.html?sstr=","Legalisierung
													Kommentare","25.03.2024"
"1717529281-6","https://www.nd-aktuell.de/suche/index.php?and=cannabis+oder+legalisieren+oder+legalisierung+oder+legalisiert+oder+bubatz+oder+grass&search=Suchen&s0_d=01&s0_m=10&s0_y=2023&s1_d=31&s1_m=03&s1_y=2024&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&display=0","","","Diplomatie oder Wüstenplanet","https://www.nd-aktuell.de/artikel/1180992.wasserknappheit-diplomatie-oder-wuestenplanet.html?sstr=","Wasserknappheit
													Kommentare","24.03.2024"
"1717529281-7","https://www.nd-aktuell.de/suche/index.php?and=cannabis+oder+legalisieren+oder+legalisierung+oder+legalisiert+oder+bubatz+oder+grass&search=Suchen&s0_d=01&s0_m=10&s0_y=2023&s1_d=31&s1_m=03&s1_y=2024&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&display=0","","","Prekäre Wissenschaft: Eine Schar von Kanarienvögeln","https://www.nd-aktuell.de/artikel/1180952.am-rande-prekaere-wissenschaft-eine-schar-von-kanarienvoegeln.html?sstr=","Am Rande
													Kultur","22.03.2024"
"1717529281-8","https://www.nd-aktuell.de/suche/index.php?and=cannabis+oder+legalisieren+oder+legalisierung+oder+legalisiert+oder+bubatz+oder+grass&search=Suchen&s0_d=01&s0_m=10&s0_y=2023&s1_d=31&s1_m=03&s1_y=2024&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&display=0","","","Die Länder verzögern die Legalisierung von Cannabis","https://www.nd-aktuell.de/artikel/1180925.kommentar-zum-legalen-cannabiskonsum-die-laender-verzoegern-die-legalisierung-von-cannabis.html?sstr=","Kommentar zum legalen Cannabiskonsum
													Kommentare","22.03.2024"
"1717529281-9","https://www.nd-aktuell.de/suche/index.php?and=cannabis+oder+legalisieren+oder+legalisierung+oder+legalisiert+oder+bubatz+oder+grass&search=Suchen&s0_d=01&s0_m=10&s0_y=2023&s1_d=31&s1_m=03&s1_y=2024&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&display=0","","","Neues Cannabisgesetz: »Das ist erst der Anfang.«","https://www.nd-aktuell.de/artikel/1180881.legalisierung-von-cannabis-neues-cannabisgesetz-das-ist-erst-der-anfang.html?sstr=","Legalisierung von Cannabis
													Politik","22.03.2024"
"1717529281-10","https://www.nd-aktuell.de/suche/index.php?and=cannabis+oder+legalisieren+oder+legalisierung+oder+legalisiert+oder+bubatz+oder+grass&search=Suchen&s0_d=01&s0_m=10&s0_y=2023&s1_d=31&s1_m=03&s1_y=2024&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&display=0","","","Cannabis: Wenn ein Gesetz zu verhungern droht","https://www.nd-aktuell.de/artikel/1180916.bundesrat-cannabis-wenn-ein-gesetz-zu-verhungern-droht.html?sstr=","Bundesrat
													Politik","21.03.2024"
"1717529283-11","https://www.nd-aktuell.de/suche/index.php?and=cannabis+oder+legalisieren+oder+legalisierung+oder+legalisiert+oder+bubatz+oder+grass&search=Suchen&s0_d=01&s0_m=10&s0_y=2023&s1_d=31&s1_m=03&s1_y=2024&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&display=0","8","https://www.nd-aktuell.de/suche/index.php?start=70&search=1&and=cannabis+oder+legalisieren+oder+legalisierung+oder+legalisiert+oder+bubatz+oder+grass&modus=1&s0_y=2023&s0_m=10&s0_d=01&s1_y=2024&s1_m=03&s1_d=31&sort=1&display=0&searchfields%5B0%5D=0&searchfields%5B1%5D=1&searchfields%5B2%5D=2","Culpa in contrahendo oder: Wer hat recht?","https://www.nd-aktuell.de/artikel/1176735.nato-osterweiterung-culpa-in-contrahendo-oder-wer-hat-recht.html?sstr=","Nato-Osterweiterung
													Kultur","04.10.2023"
