web-scraper-order,web-scraper-start-url,url_title,url_title-href,topic,date,author
"1717529549-1","https://www.tichyseinblick.de/?s=legalisier","Finnland will Pushbacks nach Russland legalisieren","https://www.tichyseinblick.de/kolumnen/aus-aller-welt/finnland-russland-ostroute-migration/","Medienhype Ostroute, Terrorimport möglich","24. Mai 2024","Matthias Nikolaidis"
"1717529549-2","https://www.tichyseinblick.de/?s=legalisier","Die Cannabis-Legalisierung bringt die Justiz an die Grenze","https://www.tichyseinblick.de/daili-es-sentials/cannabis-legalisierung-justiz-buerokratie/","Bürokratiemonster","27. April 2024","Redaktion"
"1717529549-3","https://www.tichyseinblick.de/?s=legalisier","Kiffen: Weiter verbieten oder legalisieren?","https://www.tichyseinblick.de/video/streit-bar/kiffen-erlaubt-cannabis-legalisierung/","Streit-Bar mit Roland Tichy und Diether Dehm","20. Februar 2024","Redaktion"
"1717529549-4","https://www.tichyseinblick.de/?s=legalisier","Cannabis-Legalisierung: Das Kabinett der Kiffer","https://www.tichyseinblick.de/meinungen/cannabis-legalisierung-eckwerte/","""Ampel""-Prestigeobjekt","13. April 2023","Josef Kraus"
"1717529549-5","https://www.tichyseinblick.de/?s=legalisier","Der Dilettantismus regiert auch bei der Cannabis-Legalisierung","https://www.tichyseinblick.de/daili-es-sentials/cannabis-legalisierung-eu-recht/","Regierungsplan verstößt gegen EU-Recht","12. September 2022","Redaktion"
"1717529549-6","https://www.tichyseinblick.de/?s=legalisier","Lauterbach: Legalisierung von Haschisch steht kurz bevor","https://www.tichyseinblick.de/meinungen/lauterbach-legalisierung-von-haschisch-steht-kurz-bevor/","Kitzliges Thema für die Ampel","8. Juli 2022","Mario Thurnes"
"1717529549-7","https://www.tichyseinblick.de/?s=legalisier","„Containern“: Grüner Justizsenator will Mittagstisch aus dem Mülleimer legalisieren","https://www.tichyseinblick.de/daili-es-sentials/containern-gruener-justizsenator-will-mittagstisch-aus-dem-muelleimer-legalisieren/","Arroganz satter Oberer","1. Juni 2019","Alexander Wallasch"
"1717529549-8","https://www.tichyseinblick.de/?s=legalisier","UN-Migrationspakt legalisiert Parallelgesellschaften","https://www.tichyseinblick.de/kolumnen/alexander-wallasch-heute/un-migrationspakt-legalisiert-parallelgesellschaften/","Irreführung durch die Regierung","13. November 2018","Alexander Wallasch"
"1717529549-9","https://www.tichyseinblick.de/?s=legalisier","Cannabis-Legalisierung: verantwortungslose Veteranen-Veranstaltung","https://www.tichyseinblick.de/kolumnen/alexander-wallasch-heute/cannabis-legalisierung-verantwortungslose-veteranen-veranstaltung/","Worum geht es wirklich?","28. April 2018","Alexander Wallasch"
"1717529549-10","https://www.tichyseinblick.de/?s=legalisier","Maas will mit Kinderehen Kindesmissbrauch legalisieren","https://www.tichyseinblick.de/meinungen/maas-will-mit-kinderehen-kindesmissbrauch-legalisieren/","Statt Verbot - faktische Legalisierung","28. Oktober 2016","Joachim Steinhöfel"
"1717529549-11","https://www.tichyseinblick.de/?s=legalisier","Karl Lauterbach bei Markus Lanz: Krebs und Krankenhaussterben","https://www.tichyseinblick.de/feuilleton/medien/lanz-krebs-und-krankenhaussterben/","Eine spannende Sendung","16. Mai 2024","Maximilian Tichy"
"1717529549-12","https://www.tichyseinblick.de/?s=legalisier","Die Ampel will den Begriff der Familie neu konzipieren","https://www.tichyseinblick.de/feuilleton/buecher/die-ampel-will-den-begriff-der-familie-neu-konzipieren/","Elternrecht sticht Kindeswohl","12. Mai 2024","Gastautor"
"1717529549-13","https://www.tichyseinblick.de/?s=legalisier","Der Verfall deutscher Kultur und die Flucht in Parallelgesellschaften","https://www.tichyseinblick.de/meinungen/der-verfall-deutscher-kultur-und-die-flucht-in-parallelgesellschaften/","Verhinderte Integration","11. Mai 2024","Klaus-Jürgen Gadamer"
"1717529549-14","https://www.tichyseinblick.de/?s=legalisier","Wie eine dysfunktionale Gesundheitspolitik die Versorgung ruiniert","https://www.tichyseinblick.de/meinungen/dysfunktionale-gesundheitspolitik-ruiniert-versorgung-lauterbach/","Versagen mit Ansage","6. Mai 2024","Gastautor"
"1717529549-15","https://www.tichyseinblick.de/?s=legalisier","Das Milliardengeschäft mit der Leihmutterschaft","https://www.tichyseinblick.de/feuilleton/buecher/das-milliardengeschaeft-mit-der-leihmutterschaft/","Menschenhandel im Namen der Toleranz?","28. April 2024","Gastautor"
"1717529555-16","https://www.tichyseinblick.de/page/5/?s=cannabis","Selbstbestimmungsgesetz liegt auf Eis","https://www.tichyseinblick.de/meinungen/selbstbestimmungsgesetz-rueckschlag/","Klärungsbedarf bei FDP","10. November 2023","Josef Kraus"
"1717529555-17","https://www.tichyseinblick.de/page/5/?s=cannabis","Bei Maischberger: Özdemir spielt den konservativen Law and Order Sheriff","https://www.tichyseinblick.de/feuilleton/medien/maischberger-oezdemir-wagenknecht/","Verbale Beruhigungspillen","8. November 2023","Gastautor"
"1717529555-18","https://www.tichyseinblick.de/page/5/?s=cannabis","Masseneinwanderung fortsetzen – es soll nur keiner merken","https://www.tichyseinblick.de/daili-es-sentials/masseneinwanderung-migrationsgipfel-scholz/","Eine Posse fürs Volk:","6. November 2023","Klaus-Rüdiger Mai"
"1717529555-19","https://www.tichyseinblick.de/page/5/?s=cannabis","Bundesminister Özdemir – Das Volk hat ihm zu gehorchen","https://www.tichyseinblick.de/meinungen/cem-oezdemir-obrigkeitsstaat/","Der Obrigkeitsstaat","31. Oktober 2023","Gastautor"
"1717529555-20","https://www.tichyseinblick.de/page/5/?s=cannabis","Lässt Scholz die Koalition mit den Grünen platzen?","https://www.tichyseinblick.de/daili-es-sentials/olaf-scholz-koalition-gruene/","Das jüngste Gerücht","16. Oktober 2023","Mario Thurnes"
"1717529555-21","https://www.tichyseinblick.de/page/5/?s=cannabis","Wissenschaftler watschen Politik der Ampel ab","https://www.tichyseinblick.de/daili-es-sentials/wissenschaftler-watschen-politik-der-ampel-ab/","Streit um Kernkraft","6. Oktober 2023","Mario Thurnes"
"1717529555-22","https://www.tichyseinblick.de/page/5/?s=cannabis","Scholz und Mützenich wollen sich nicht mehr von den Grünen auf der Nase rumtanzen lassen","https://www.tichyseinblick.de/meinungen/scholz-muetzenich-gruene/","Ist das Maß endlich voll?","28. September 2023","Josef Kraus"
"1717529555-23","https://www.tichyseinblick.de/page/5/?s=cannabis","Hart aber Fair: Von hinten durch die Ossi-Brust ins AfD-Auge","https://www.tichyseinblick.de/feuilleton/medien/hart-aber-fair-vorurteile-west-dauerfrust-ost/","„Elefant im Raum“, der nie thematisiert wird","26. September 2023","Gastautor"
"1717529555-24","https://www.tichyseinblick.de/page/5/?s=cannabis","CSU-Parteitag: Söder mit 96,5 Prozent als Vorsitzender wiedergewählt","https://www.tichyseinblick.de/daili-es-sentials/csu-parteitag-vor-landtagswahl-2023/","Vor der Landtagswahl 2023","23. September 2023","Josef Kraus"
"1717529555-25","https://www.tichyseinblick.de/page/5/?s=cannabis","Wann wird der deutsche Michel endlich aufbegehren?","https://www.tichyseinblick.de/feuilleton/buecher/wann-wird-der-deutsche-michel-endlich-aufbegehren/","Deutschland - ein Land voller Paradoxien","22. September 2023","Josef Kraus"
"1717529555-26","https://www.tichyseinblick.de/page/5/?s=cannabis","Jagd auf Frauen, Clan-Kriminalität und Messerstechereien sind das neue Normal auf deutschen Straßen","https://www.tichyseinblick.de/daili-es-sentials/gewalt-und-chaos-auf-deutschen-strassen-verstetigen-sich/","Welches Land ist das?","13. September 2023","Matthias Nikolaidis"
"1717529555-27","https://www.tichyseinblick.de/page/5/?s=cannabis","Lobhudelei auf Ampel: ARD und Bertelsmann überbieten sich gegenseitig","https://www.tichyseinblick.de/meinungen/ampel-ard-bertelsmann/","Hofberichterstattung vom Feinsten","13. September 2023","Josef Kraus"
