web-scraper-order,web-scraper-start-url,link,link-href
"1717529091-1","https://www.zeit.de/suche/index?q=legalisier%2A&type=article&type=gallery&type=video&type=author&type=manualtopic&p=14","Cannabislegalisierung: ""Ein Unding, dass man auf Bahnsteigen immer noch rauchen kann""","https://www.zeit.de/politik/deutschland/2023-10/cannabis-legalisierung-interview-drogenbeauftragter-burkhard-blienert-clubs"
"1717529091-2","https://www.zeit.de/suche/index?q=legalisier%2A&type=article&type=gallery&type=video&type=author&type=manualtopic&p=14","Parlamentswahl: Luxemburg steht vor Regierungswechsel","https://www.zeit.de/politik/ausland/2023-10/parlamentswahl-luxemburg-gruene-verlieren"
"1717529091-3","https://www.zeit.de/suche/index?q=legalisier%2A&type=article&type=gallery&type=video&type=author&type=manualtopic&p=14","Hamburg-Blankenese: Er brach eine Zimmertür aus der Zarge und schlug auf seine Mutter ein","https://www.zeit.de/hamburg/2023-10/blankenese-mutter-sohn-cannabis-psychose"
"1717529091-4","https://www.zeit.de/suche/index?q=legalisier%2A&type=article&type=gallery&type=video&type=author&type=manualtopic&p=14","Hessen-Wahl: Die Wegducker","https://www.zeit.de/politik/deutschland/2023-10/hessen-wahl-boris-rhein-tarek-al-wazir-cdu-gruene"
"1717529091-5","https://www.zeit.de/suche/index?q=legalisier%2A&type=article&type=gallery&type=video&type=author&type=manualtopic&p=14","Eizellspende: Soll meine Eizelle als fremdes Kind im Ausland aufwachsen?","https://www.zeit.de/gesellschaft/familie/2023-09/social-freezing-kinderwunsch-eizellspende-kryokonservierung-solomutterschaft"
"1717529091-6","https://www.zeit.de/suche/index?q=legalisier%2A&type=article&type=gallery&type=video&type=author&type=manualtopic&p=14","Merlin Sheldrake: ""Pilze können uns dabei helfen, die Welt zu heilen""","https://www.zeit.de/zeit-magazin/wochenmarkt/2023-09/merlin-sheldrake-pilze-musik-magic-mushrooms-wochenmarkt"
"1717529091-7","https://www.zeit.de/suche/index?q=legalisier%2A&type=article&type=gallery&type=video&type=author&type=manualtopic&p=14","Legalisierung von Cannabis: ""Ich fordere die Legalisierung aller Drogen""","https://www.zeit.de/gesundheit/2023-09/legalisierung-cannabis-entkriminalisierung-drogen-drogenpolitik"
"1717529091-8","https://www.zeit.de/suche/index?q=legalisier%2A&type=article&type=gallery&type=video&type=author&type=manualtopic&p=14","Bundesrat: Länder fordern Nachbesserungen im Entwurf zur Cannabislegalisierung","https://www.zeit.de/politik/deutschland/2023-09/cannabislegalisierung-bundesrat-kritik"
"1717529091-9","https://www.zeit.de/suche/index?q=legalisier%2A&type=article&type=gallery&type=video&type=author&type=manualtopic&p=14","Sicherheitsgipfel in Berlin: Deutschlands Drogen-Dilemma","https://www.zeit.de/gesellschaft/zeitgeschehen/2023-09/berlin-sicherheitsgipfel-goerlitzer-park-kai-wegner-drogenkriminalitaet"
"1717529091-10","https://www.zeit.de/suche/index?q=legalisier%2A&type=article&type=gallery&type=video&type=author&type=manualtopic&p=14","LGBTQIA-Rechte: Hongkonger Gericht für Recht auf gleichgeschlechtliche Partnerschaften","https://www.zeit.de/politik/ausland/2023-09/hongkong-gericht-lgbtq-gleichgeschlechtliche-partnerschaften"
"1717529093-11","https://www.zeit.de/suche/index?q=legalisier%2A&type=article&type=gallery&type=video&type=author&type=manualtopic&p=13","Legalisierung von Cannabis: Legale Besitzgrenze von Cannabis im Privatbereich wird verdoppelt","https://www.zeit.de/politik/deutschland/2023-11/fraktionen-ampel-legalisierung-cannabis-gesetz"
"1717529093-12","https://www.zeit.de/suche/index?q=legalisier%2A&type=article&type=gallery&type=video&type=author&type=manualtopic&p=13","Stichwahl: Wer wird Argentiniens Krisenmanager?","https://www.zeit.de/politik/ausland/2023-11/argentinien-praesidentenwahl-javier-milei-sergio-massa-faq"
"1717529093-13","https://www.zeit.de/suche/index?q=legalisier%2A&type=article&type=gallery&type=video&type=author&type=manualtopic&p=13","Karl Lauterbach: Cannabislegalisierung kommt offenbar nicht zum Jahreswechsel","https://www.zeit.de/politik/deutschland/2023-11/cannabis-legalisierung-karl-lauterbach-bundesrat-jahreswechsel"
