web-scraper-order,web-scraper-start-url,pageanation,pageanation-href,url,url-href,topic,date
"1717453800-1","https://www.nd-aktuell.de/suche/index.php?and=heizungsgesetz+geb%C3%A4udeenergiegesetz+w%C3%A4rmepumpe&search=Suchen&s0_d=20&s0_m=04&s0_y=2023&s1_d=20&s1_m=10&s1_y=2023&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&searchfields%5B%5D=3&display=0","","","Wenn Heizen unbezahlbar wird","https://www.nd-aktuell.de/artikel/1177165.klimapolitik-wenn-heizen-unbezahlbar-wird.html?sstr=heizungsgesetz|geb%C3%A4udeenergiegesetz|w%C3%A4rmepumpe","Klimapolitik
													Kommentare","19.10.2023"
"1717453800-2","https://www.nd-aktuell.de/suche/index.php?and=heizungsgesetz+geb%C3%A4udeenergiegesetz+w%C3%A4rmepumpe&search=Suchen&s0_d=20&s0_m=04&s0_y=2023&s1_d=20&s1_m=10&s1_y=2023&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&searchfields%5B%5D=3&display=0","","","LNG-Infrastruktur auf Rügen: Von wegen Gasmangellage","https://www.nd-aktuell.de/artikel/1176981.lng-auf-ruegen-lng-infrastruktur-auf-ruegen-von-wegen-gasmangellage.html?sstr=heizungsgesetz|geb%C3%A4udeenergiegesetz|w%C3%A4rmepumpe","LNG auf Rügen
													Politik","13.10.2023"
"1717453800-3","https://www.nd-aktuell.de/suche/index.php?and=heizungsgesetz+geb%C3%A4udeenergiegesetz+w%C3%A4rmepumpe&search=Suchen&s0_d=20&s0_m=04&s0_y=2023&s1_d=20&s1_m=10&s1_y=2023&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&searchfields%5B%5D=3&display=0","","","FDP: Verluste in Serie","https://www.nd-aktuell.de/artikel/1176888.ampel-koalition-fdp-verluste-in-serie.html?sstr=heizungsgesetz|geb%C3%A4udeenergiegesetz|w%C3%A4rmepumpe","Ampel-Koalition
													Politik","09.10.2023"
"1717453800-4","https://www.nd-aktuell.de/suche/index.php?and=heizungsgesetz+geb%C3%A4udeenergiegesetz+w%C3%A4rmepumpe&search=Suchen&s0_d=20&s0_m=04&s0_y=2023&s1_d=20&s1_m=10&s1_y=2023&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&searchfields%5B%5D=3&display=0","","","»Wir wollen ein Mitbestimmungsrecht beim Klimaschutz«","https://www.nd-aktuell.de/artikel/1176805.ig-metall-vorsitzenden-christiane-benner-wir-wollen-ein-mitbestimmungsrecht-beim-klimaschutz.html?sstr=heizungsgesetz|geb%C3%A4udeenergiegesetz|w%C3%A4rmepumpe","IG-Metall-Vorsitzenden Christiane Benner
													Politik","06.10.2023"
"1717453800-5","https://www.nd-aktuell.de/suche/index.php?and=heizungsgesetz+geb%C3%A4udeenergiegesetz+w%C3%A4rmepumpe&search=Suchen&s0_d=20&s0_m=04&s0_y=2023&s1_d=20&s1_m=10&s1_y=2023&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&searchfields%5B%5D=3&display=0","","","Protokolle aus Odessa","https://www.nd-aktuell.de/artikel/1176787.kriegsalltag-protokolle-aus-odessa.html?sstr=heizungsgesetz|geb%C3%A4udeenergiegesetz|w%C3%A4rmepumpe","Kriegsalltag
													Politik","05.10.2023"
"1717453800-6","https://www.nd-aktuell.de/suche/index.php?and=heizungsgesetz+geb%C3%A4udeenergiegesetz+w%C3%A4rmepumpe&search=Suchen&s0_d=20&s0_m=04&s0_y=2023&s1_d=20&s1_m=10&s1_y=2023&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&searchfields%5B%5D=3&display=0","","","Die Grünen: Freistaatsfeind Nummer eins","https://www.nd-aktuell.de/artikel/1176742.landtagswahl-bayern-die-gruenen-freistaatsfeind-nummer-eins.html?sstr=heizungsgesetz|geb%C3%A4udeenergiegesetz|w%C3%A4rmepumpe","Landtagswahl Bayern
													Politik","04.10.2023"
"1717453800-7","https://www.nd-aktuell.de/suche/index.php?and=heizungsgesetz+geb%C3%A4udeenergiegesetz+w%C3%A4rmepumpe&search=Suchen&s0_d=20&s0_m=04&s0_y=2023&s1_d=20&s1_m=10&s1_y=2023&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&searchfields%5B%5D=3&display=0","","","Kornelia Wehlan: Die einzigartige Landrätin","https://www.nd-aktuell.de/artikel/1176718.portraet-kornelia-wehlan-die-einzigartige-landraetin.html?sstr=heizungsgesetz|geb%C3%A4udeenergiegesetz|w%C3%A4rmepumpe","Porträt
													Berlin","03.10.2023"
"1717453800-8","https://www.nd-aktuell.de/suche/index.php?and=heizungsgesetz+geb%C3%A4udeenergiegesetz+w%C3%A4rmepumpe&search=Suchen&s0_d=20&s0_m=04&s0_y=2023&s1_d=20&s1_m=10&s1_y=2023&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&searchfields%5B%5D=3&display=0","","","Wärmepumpe auch im Altbau zweckmäßig?","https://www.nd-aktuell.de/artikel/1176616.heizung-waermepumpe-auch-im-altbau-zweckmaessig.html?sstr=heizungsgesetz|geb%C3%A4udeenergiegesetz|w%C3%A4rmepumpe","Heizung
													Ratgeber","28.09.2023"
"1717453800-9","https://www.nd-aktuell.de/suche/index.php?and=heizungsgesetz+geb%C3%A4udeenergiegesetz+w%C3%A4rmepumpe&search=Suchen&s0_d=20&s0_m=04&s0_y=2023&s1_d=20&s1_m=10&s1_y=2023&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&searchfields%5B%5D=3&display=0","","","Das Wasserstoff-Problem der Stadtwerke","https://www.nd-aktuell.de/artikel/1176578.waermewende-das-wasserstoff-problem-der-stadtwerke.html?sstr=heizungsgesetz|geb%C3%A4udeenergiegesetz|w%C3%A4rmepumpe","Wärmewende
													Wirtschaft und Umwelt","26.09.2023"
"1717453800-10","https://www.nd-aktuell.de/suche/index.php?and=heizungsgesetz+geb%C3%A4udeenergiegesetz+w%C3%A4rmepumpe&search=Suchen&s0_d=20&s0_m=04&s0_y=2023&s1_d=20&s1_m=10&s1_y=2023&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&searchfields%5B%5D=3&display=0","","","Burgen der Utopie bauen","https://www.nd-aktuell.de/artikel/1176499.klimaaktivismus-burgen-der-utopie-bauen.html?sstr=heizungsgesetz|geb%C3%A4udeenergiegesetz|w%C3%A4rmepumpe","Klimaaktivismus
													Kommentare","22.09.2023"
