web-scraper-order,web-scraper-start-url,url_title,url_title-href,topic,date,author
"1717454272-1","https://www.tichyseinblick.de/page/11/?s=geb%C3%A4ude+energie+gesetz","Kommunen stimmen Bürger auf höhere Steuern und Gebühren ein","https://www.tichyseinblick.de/daili-es-sentials/kommunen-stimmen-buerger-auf-hoehere-steuern-und-gebuehren-ein/","für Soziales, Flüchtlinge, Energie, Personal","23. Mai 2023","Redaktion"
"1717454272-2","https://www.tichyseinblick.de/page/11/?s=geb%C3%A4ude+energie+gesetz","Schlechte Umfragen für Scholz, Habeck und „Wärmewende“","https://www.tichyseinblick.de/daili-es-sentials/umfragen-scholz-habeck-heizungen/","Stimmungswende","23. Mai 2023","Redaktion"
"1717454272-3","https://www.tichyseinblick.de/page/11/?s=geb%C3%A4ude+energie+gesetz","Kabarettistin Monika Gruber ruft zur Demo gegen Grüne auf","https://www.tichyseinblick.de/daili-es-sentials/kabarettistin-monika-gruber-ruft-zur-demo-gegen-gruene-auf/","""keine Wahlkampfbühne""","19. Mai 2023","Redaktion"
"1717454272-4","https://www.tichyseinblick.de/page/11/?s=geb%C3%A4ude+energie+gesetz","Japan, du machst es besser als Deutschland","https://www.tichyseinblick.de/gastbeitrag/japan-du-machst-es-besser/","Denk ich an Japan in der Nacht:","18. Mai 2023","Gastautor"
"1717454272-5","https://www.tichyseinblick.de/page/11/?s=geb%C3%A4ude+energie+gesetz","Selbst im Parteienstaat geht die Habeck-Debatte weiter","https://www.tichyseinblick.de/daili-es-sentials/graichen-habeck-kubicki-kuehnert-gloeckner-spd-cdu-fdp/","Heizungsdiktat nicht vor der Sommerpause","18. Mai 2023","Redaktion"
"1717454272-6","https://www.tichyseinblick.de/page/11/?s=geb%C3%A4ude+energie+gesetz","Wenn Wärmepumpen-Pläne von Regierungen auf die Realität treffen","https://www.tichyseinblick.de/kolumnen/aus-aller-welt/waermepumpen-realitaet-regierungen-grossbritannien-deutschland/","In Großbritannien wie in Deutschland","16. Mai 2023","Holger Douglas"
"1717454272-7","https://www.tichyseinblick.de/page/11/?s=geb%C3%A4ude+energie+gesetz","Blackbox KW 19 – Olaf, der Gipfelstürmer","https://www.tichyseinblick.de/kolumnen/blackbox/kw-19-olaf-der-gipfelstuermer/","Blick zurück - nach vorn","14. Mai 2023","Stephan Paetow"
"1717454272-8","https://www.tichyseinblick.de/page/11/?s=geb%C3%A4ude+energie+gesetz","Tichys Einblick 06-2023: Der Grüne Clan","https://www.tichyseinblick.de/daili-es-sentials/tichys-einblick-06-2023-der-gruene-clan/","Heft 06-2023","12. Mai 2023","Redaktion"
"1717454272-9","https://www.tichyseinblick.de/page/11/?s=geb%C3%A4ude+energie+gesetz","Habeck und Graichen machten keinen Fehler – ihr Politikverständnis ist das Problem","https://www.tichyseinblick.de/meinungen/habeck-graichen-politikverstaendnis/","","8. Mai 2023","Klaus-Rüdiger Mai"
"1717454272-10","https://www.tichyseinblick.de/page/11/?s=geb%C3%A4ude+energie+gesetz","Heizungstausch kostet Kommunen acht Milliarden Euro","https://www.tichyseinblick.de/daili-es-sentials/heizungstausch-kostet-kommunen-acht-milliarden-euro/","""Wärmewende""","7. Mai 2023","Redaktion"
