web-scraper-order,web-scraper-start-url,link,link-href
"1717455775-1","https://www.zeit.de/suche/index?q=geb%C3%A4udeenergiegesetz&type=article&type=gallery&type=video&type=author&type=manualtopic&p=18","Streit in der Ampel-Koalition: Hat diese Bundesregierung noch eine gemeinsame Grundlage?","https://www.zeit.de/2023/22/ampel-koalition-streit-heizungsgesetz-geg"
"1717455775-2","https://www.zeit.de/suche/index?q=geb%C3%A4udeenergiegesetz&type=article&type=gallery&type=video&type=author&type=manualtopic&p=18","Nachrichtenpodcast: Ist die Letzte Generation eine kriminelle Vereinigung?","https://www.zeit.de/politik/2023-05/letzte-generation-bundesweite-razzia-klimaaktivisten-nachrichtenpodcast"
"1717455775-3","https://www.zeit.de/suche/index?q=geb%C3%A4udeenergiegesetz&type=article&type=gallery&type=video&type=author&type=manualtopic&p=18","Heizungsstreit: Bundesregierung hält Vertrauensbasis für intakt","https://www.zeit.de/politik/deutschland/2023-05/bundesregierung-heizungsstreit-aktuelle-stunde-bundestag"
"1717455775-4","https://www.zeit.de/suche/index?q=geb%C3%A4udeenergiegesetz&type=article&type=gallery&type=video&type=author&type=manualtopic&p=18","Gebäudeenergiegesetz: Wie die Nilpferde","https://www.zeit.de/2023/22/gebaeudeenergiegesetz-civey-umfrage"
"1717455775-5","https://www.zeit.de/suche/index?q=geb%C3%A4udeenergiegesetz&type=article&type=gallery&type=video&type=author&type=manualtopic&p=18","Koalitionsstreit: Heizungsgesetz kann laut FDP auch bei Verzögerung 2024 greifen","https://www.zeit.de/politik/deutschland/2023-05/heizungsgesetz-fdp-verzoegerung-2024"
"1717455775-6","https://www.zeit.de/suche/index?q=geb%C3%A4udeenergiegesetz&type=article&type=gallery&type=video&type=author&type=manualtopic&p=18","Heizungsgesetz: Robert Habeck wirft FDP ""Wortbruch"" vor","https://www.zeit.de/politik/deutschland/2023-05/heizungsgesetz-habeck-fdp-wortbruch"
"1717455775-7","https://www.zeit.de/suche/index?q=geb%C3%A4udeenergiegesetz&type=article&type=gallery&type=video&type=author&type=manualtopic&p=18","Ampel-Streit: Grüne warnen FDP vor Blockade von Heizungsgesetz","https://www.zeit.de/politik/deutschland/2023-05/gebaeudeenergiegesetz-fdp-gruene-verzoegerung"
"1717455775-8","https://www.zeit.de/suche/index?q=geb%C3%A4udeenergiegesetz&type=article&type=gallery&type=video&type=author&type=manualtopic&p=18","Ampel-Streit: Wird das noch was mit dem Heizungsgesetz?","https://www.zeit.de/wirtschaft/2023-05/heizungsgesetz-ampel-streit-zeitplan"
"1717455775-9","https://www.zeit.de/suche/index?q=geb%C3%A4udeenergiegesetz&type=article&type=gallery&type=video&type=author&type=manualtopic&p=18","Heizungsgesetz: FDP erkennt im Heizungsgesetz-Entwurf ""unfassbar viele Fehler""","https://www.zeit.de/politik/deutschland/2023-05/heizungsgesetz-bijan-djir-sarai-fdp"
"1717455775-10","https://www.zeit.de/suche/index?q=geb%C3%A4udeenergiegesetz&type=article&type=gallery&type=video&type=author&type=manualtopic&p=18","Die Grünen: Die Grünen müssen sich wehren lernen","https://www.zeit.de/politik/deutschland/2023-05/die-gruenen-wahlkampf-kampagnen-struktur"
"1717455777-11","https://www.zeit.de/suche/index?q=geb%C3%A4udeenergiegesetz&type=article&type=gallery&type=video&type=author&type=manualtopic&p=17","CO₂-Preis und Heizungsstreit: Das Wundermittel, das die Wende bringen soll","https://www.zeit.de/wirtschaft/2023-05/heizungsstreit-co2-preis-erhoehung-emissionshandel"
"1717455777-12","https://www.zeit.de/suche/index?q=geb%C3%A4udeenergiegesetz&type=article&type=gallery&type=video&type=author&type=manualtopic&p=17","FDP: Nun kommt mal wieder runter","https://www.zeit.de/politik/deutschland/2023-05/fdp-ampel-koalition-heizungsgesetz-debatte"
"1717455777-13","https://www.zeit.de/suche/index?q=geb%C3%A4udeenergiegesetz&type=article&type=gallery&type=video&type=author&type=manualtopic&p=17","Die Grünen: Das grüne Syndrom","https://www.zeit.de/politik/deutschland/2023-05/die-gruenen-heizungsgesetz-klimapolitik-realpolitik-klimaziele"
"1717455777-14","https://www.zeit.de/suche/index?q=geb%C3%A4udeenergiegesetz&type=article&type=gallery&type=video&type=author&type=manualtopic&p=17","Heizungswende: ""… das kostet dann 400 Milliarden""","https://www.zeit.de/politik/2023-05/waermewende-heizungsgesetz-ampel-politikpodcast"
"1717455777-15","https://www.zeit.de/suche/index?q=geb%C3%A4udeenergiegesetz&type=article&type=gallery&type=video&type=author&type=manualtopic&p=17","Heizungsgesetz: FDP blockiert Gesetzesberatung auch in kommender Sitzungswoche","https://www.zeit.de/politik/deutschland/2023-05/heizungsgesetz-juni-bundestagssitzung-nicht-geplant"
"1717455777-16","https://www.zeit.de/suche/index?q=geb%C3%A4udeenergiegesetz&type=article&type=gallery&type=video&type=author&type=manualtopic&p=17","Bundestag: Kanzler mahnt schnelle Überarbeitung von Heizungsgesetz an","https://www.zeit.de/politik/deutschland/2023-05/scholz-heizungsgesetz-bundestag-sommerpause"
"1717455777-17","https://www.zeit.de/suche/index?q=geb%C3%A4udeenergiegesetz&type=article&type=gallery&type=video&type=author&type=manualtopic&p=17","Heizungsgesetz: Im Land der Scheinheiligen","https://www.zeit.de/politik/2023-05/heizungsgesetz-fdp-debatte-klimakrise-5vor8"
"1717455777-18","https://www.zeit.de/suche/index?q=geb%C3%A4udeenergiegesetz&type=article&type=gallery&type=video&type=author&type=manualtopic&p=17","Heizungsgesetz: SPD-Chef fordert von FDP Bewegung im Heizungsstreit","https://www.zeit.de/politik/deutschland/2023-05/heizungsstreit-spd-fdp-zeitplan-eile-lars-klingbeil"
"1717455777-19","https://www.zeit.de/suche/index?q=geb%C3%A4udeenergiegesetz&type=article&type=gallery&type=video&type=author&type=manualtopic&p=17","Klimaschutz: Eine belastende Doppelhaushälfte","https://www.zeit.de/2023/22/klimschutz-gebaeudeenergiegesetz-kosten-privatpersonen"
"1717455777-20","https://www.zeit.de/suche/index?q=geb%C3%A4udeenergiegesetz&type=article&type=gallery&type=video&type=author&type=manualtopic&p=17","Robert Habeck: Die Empörungskarawane ist schon weiter gezogen","https://www.zeit.de/politik/deutschland/2023-05/robert-habeck-bundestag-ausschuss-patrick-graichen-heizung-gesetz"
"1717455780-21","https://www.zeit.de/suche/index?q=geb%C3%A4udeenergiegesetz&type=article&type=gallery&type=video&type=author&type=manualtopic&p=16","Ampel-Koalition: FDP-Fraktionschef sieht Heizgesetz-Lösung ""erst in kommenden Wochen""","https://www.zeit.de/politik/deutschland/2023-06/fdp-heizungsstreit-christian-duerr"
"1717455780-22","https://www.zeit.de/suche/index?q=geb%C3%A4udeenergiegesetz&type=article&type=gallery&type=video&type=author&type=manualtopic&p=16","AfD im Umfragehoch : Schrei nach Führung","https://www.zeit.de/politik/deutschland/2023-06/ard-deutschlandtrend-umfragen-afd-spd-ampel-koalition"
"1717455780-23","https://www.zeit.de/suche/index?q=geb%C3%A4udeenergiegesetz&type=article&type=gallery&type=video&type=author&type=manualtopic&p=16","Frank Schäffler: Worauf zielt die FDP?","https://www.zeit.de/2023/23/frank-schaeffler-fdp-christian-lindner-heizungsgesetz-waermewende"
"1717455780-24","https://www.zeit.de/suche/index?q=geb%C3%A4udeenergiegesetz&type=article&type=gallery&type=video&type=author&type=manualtopic&p=16","Heizungsgesetz: Habecks Antworten auf die 77 Fragen","https://www.zeit.de/wirtschaft/2023-06/heizungsgesetz-nachfragen-77-fdp-antworten"
"1717455780-25","https://www.zeit.de/suche/index?q=geb%C3%A4udeenergiegesetz&type=article&type=gallery&type=video&type=author&type=manualtopic&p=16","Heizungsstreit: Auf der Suche nach dem Beipackzettel","https://www.zeit.de/politik/deutschland/2023-05/heizungsstreit-die-gruenen-fdp-gesetz-verhandlung"
"1717455780-26","https://www.zeit.de/suche/index?q=geb%C3%A4udeenergiegesetz&type=article&type=gallery&type=video&type=author&type=manualtopic&p=16","Ampel-Koalition: Einigung im Heizungsstreit rückt näher","https://www.zeit.de/politik/deutschland/2023-05/ampel-koalition-einigung-im-heizungsstreit-rueckt-naeher"
"1717455780-27","https://www.zeit.de/suche/index?q=geb%C3%A4udeenergiegesetz&type=article&type=gallery&type=video&type=author&type=manualtopic&p=16","Nachrichtenpodcast: Der Osten ist für die Wärmewende besser gewappnet","https://www.zeit.de/politik/2023-05/heizungsgesetz-osten-ampel-koalition-nachrichtenpodcast"
"1717455780-28","https://www.zeit.de/suche/index?q=geb%C3%A4udeenergiegesetz&type=article&type=gallery&type=video&type=author&type=manualtopic&p=16","Wärmewende: Der Osten kommt mit Habecks Heizplänen besser klar","https://www.zeit.de/politik/deutschland/2023-05/heizungsgesetz-ostdeutschland-kritik-waermewende"
"1717455780-29","https://www.zeit.de/suche/index?q=geb%C3%A4udeenergiegesetz&type=article&type=gallery&type=video&type=author&type=manualtopic&p=16","Gebäudeenergiegesetz: Ampel-Koalition will Kompromisslinien beim Heizungsgesetz ausloten","https://www.zeit.de/politik/ausland/2023-05/heizungsgesetz-kompromisslinien-ampel-koalition"
