web-scraper-order,web-scraper-start-url,pageanation,pageanation-href,url,url-href,topic,date
"1717583069-1","https://www.nd-aktuell.de/suche/index.php?and=agrardiesel+bauernprotest+bauernproteste&search=Suchen&s0_d=01&s0_m=12&s0_y=2023&s1_d=29&s1_m=02&s1_y=2024&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&searchfields%5B%5D=3&display=0","","","Anthony Lee: Der Bauern-Influencer","https://www.nd-aktuell.de/artikel/1180313.europaparlament-anthony-lee-der-bauern-influencer.html?sstr=agrardiesel|bauernprotest|bauernproteste","Europaparlament
													Kommentare","26.02.2024"
"1717583069-2","https://www.nd-aktuell.de/suche/index.php?and=agrardiesel+bauernprotest+bauernproteste&search=Suchen&s0_d=01&s0_m=12&s0_y=2023&s1_d=29&s1_m=02&s1_y=2024&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&searchfields%5B%5D=3&display=0","","","Endlosschleife beim Wachstumschancengesetz","https://www.nd-aktuell.de/artikel/1180230.steuersenkungen-endlosschleife-beim-wachstumschancengesetz.html?sstr=agrardiesel|bauernprotest|bauernproteste","Steuersenkungen
													Politik","22.02.2024"
"1717583069-3","https://www.nd-aktuell.de/suche/index.php?and=agrardiesel+bauernprotest+bauernproteste&search=Suchen&s0_d=01&s0_m=12&s0_y=2023&s1_d=29&s1_m=02&s1_y=2024&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&searchfields%5B%5D=3&display=0","","","Indien: Bauern setzen »Marsch auf Delhi« fort","https://www.nd-aktuell.de/artikel/1180156.bauernproteste-indien-bauern-setzen-marsch-auf-delhi-fort.html?sstr=agrardiesel|bauernprotest|bauernproteste","Bauernproteste
													Wirtschaft und Umwelt","20.02.2024"
"1717583069-4","https://www.nd-aktuell.de/suche/index.php?and=agrardiesel+bauernprotest+bauernproteste&search=Suchen&s0_d=01&s0_m=12&s0_y=2023&s1_d=29&s1_m=02&s1_y=2024&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&searchfields%5B%5D=3&display=0","","","Polizeisprecher Martin: »Wir können nicht die Welt retten«","https://www.nd-aktuell.de/artikel/1180097.polizei-polizeisprecher-martin-wir-koennen-nicht-die-welt-retten.html?sstr=agrardiesel|bauernprotest|bauernproteste","Polizei
													Politik","18.02.2024"
"1717583069-5","https://www.nd-aktuell.de/suche/index.php?and=agrardiesel+bauernprotest+bauernproteste&search=Suchen&s0_d=01&s0_m=12&s0_y=2023&s1_d=29&s1_m=02&s1_y=2024&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&searchfields%5B%5D=3&display=0","","","Söder kann die Hetze gegen die Grünen nicht sein lassen","https://www.nd-aktuell.de/artikel/1180020.aschermittwoch-soeder-kann-die-hetze-gegen-die-gruenen-nicht-sein-lassen.html?sstr=agrardiesel|bauernprotest|bauernproteste","Aschermittwoch
													Kommentare","14.02.2024"
"1717583069-6","https://www.nd-aktuell.de/suche/index.php?and=agrardiesel+bauernprotest+bauernproteste&search=Suchen&s0_d=01&s0_m=12&s0_y=2023&s1_d=29&s1_m=02&s1_y=2024&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&searchfields%5B%5D=3&display=0","","","Der Handschlag mit den Bauern gilt","https://www.nd-aktuell.de/artikel/1179963.bauernproteste-der-handschlag-mit-den-bauern-gilt.html?sstr=agrardiesel|bauernprotest|bauernproteste","Bauernproteste
													Berlin","12.02.2024"
"1717583069-7","https://www.nd-aktuell.de/suche/index.php?and=agrardiesel+bauernprotest+bauernproteste&search=Suchen&s0_d=01&s0_m=12&s0_y=2023&s1_d=29&s1_m=02&s1_y=2024&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&searchfields%5B%5D=3&display=0","","","Neue Munitionsfabrik in Unterlüß: Rheinmetall hält Hof","https://www.nd-aktuell.de/artikel/1179949.niedersachsen-neue-munitionsfabrik-in-unterluess-rheinmetall-haelt-hof.html?sstr=agrardiesel|bauernprotest|bauernproteste","Niedersachsen
													Politik","12.02.2024"
"1717583069-8","https://www.nd-aktuell.de/suche/index.php?and=agrardiesel+bauernprotest+bauernproteste&search=Suchen&s0_d=01&s0_m=12&s0_y=2023&s1_d=29&s1_m=02&s1_y=2024&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&searchfields%5B%5D=3&display=0","","","Umweltschutz in Brandenburg: Dietmar Woidkes Klimablockade","https://www.nd-aktuell.de/artikel/1179761.klimaschutz-umweltschutz-in-brandenburg-dietmar-woidkes-klimablockade.html?sstr=agrardiesel|bauernprotest|bauernproteste","Klimaschutz
													Berlin","04.02.2024"
"1717583069-9","https://www.nd-aktuell.de/suche/index.php?and=agrardiesel+bauernprotest+bauernproteste&search=Suchen&s0_d=01&s0_m=12&s0_y=2023&s1_d=29&s1_m=02&s1_y=2024&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&searchfields%5B%5D=3&display=0","","","Haushalt 2024: CDU sabotiert erneut die Pläne der Ampel","https://www.nd-aktuell.de/artikel/1179705.haushaltswoche-haushalt-cdu-sabotiert-erneut-die-plaene-der-ampel.html?sstr=agrardiesel|bauernprotest|bauernproteste","Haushaltswoche
													Politik","01.02.2024"
"1717583069-10","https://www.nd-aktuell.de/suche/index.php?and=agrardiesel+bauernprotest+bauernproteste&search=Suchen&s0_d=01&s0_m=12&s0_y=2023&s1_d=29&s1_m=02&s1_y=2024&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&searchfields%5B%5D=3&display=0","","","Landwirte in Portugal stellen sich quer","https://www.nd-aktuell.de/artikel/1179701.bauernproteste-landwirte-in-portugal-stellen-sich-quer.html?sstr=agrardiesel|bauernprotest|bauernproteste","Bauernproteste
													Politik","01.02.2024"
