web-scraper-order,web-scraper-start-url,url_title,url_title-href,topic,date,author
"1717583313-1","https://www.tichyseinblick.de/?s=agrardiesel","Agrardiesel aus: Radwege in Peru sind der Ampel wichtiger","https://www.tichyseinblick.de/wirtschaft/agrardiesel-aus-radwege-in-peru-sind-wichtiger/","Haushaltsfinanzierungsgesetz","4. Februar 2024","Holger Douglas"
"1717583313-2","https://www.tichyseinblick.de/?s=agrardiesel","Agrardiesel: Paris lenkt ein, Berlin bleibt trotzig","https://www.tichyseinblick.de/meinungen/bauernproteste-agrardiesel-frankreich/","Bauernproteste in Frankreich","27. Januar 2024","Marco Gallina"
"1717583313-3","https://www.tichyseinblick.de/?s=agrardiesel","Haushaltsausschuss einigt sich auf Haushalt 2024 – Bauern müssen Agrardiesel voll versteuern – TE-Wecker am 19. Januar 2024","https://www.tichyseinblick.de/podcast/te-wecker-am-19-januar-2024/","DER PODCAST AM MORGEN","19. Januar 2024","Holger Douglas"
"1717583313-4","https://www.tichyseinblick.de/?s=agrardiesel","Herrschaft durch Meinungslenkung – Eigenständige Bürger stören die Macht","https://www.tichyseinblick.de/meinungen/macht-herrschaft-meinung-buerger-faeser/","100. Todestag Franz Kafka","3. Juni 2024","Ingrid Ansari"
"1717583313-5","https://www.tichyseinblick.de/?s=agrardiesel","Nach den Bauernprotesten: Was bleibt? – TE-Wecker am 6. April 2024","https://www.tichyseinblick.de/podcast/te-wecker-am-6-april-2024/","DER PODCAST AM MORGEN","6. April 2024","Holger Douglas"
"1717583313-6","https://www.tichyseinblick.de/?s=agrardiesel","Bundesrat lässt kümmerliche Entlastungen weiter schrumpfen","https://www.tichyseinblick.de/wirtschaft/bundesrat-laesst-kuemmerliche-entlastungen-weiter-schrumpfen/","Wachstumschancengesetz","22. März 2024","Mario Thurnes"
"1717583313-7","https://www.tichyseinblick.de/?s=agrardiesel","Tichys Einblick 04-2024: Angriff auf die Verfassung","https://www.tichyseinblick.de/daili-es-sentials/tichys-einblick-04-2024-angriff-auf-die-verfassung/","Heft 04-2024","14. März 2024","Redaktion"
"1717583313-8","https://www.tichyseinblick.de/?s=agrardiesel","Ampel für Staatsstrom – Bauern geben nicht nach – Richtungswechsel in Portugal – „Baerbocks Blamage“ in Den Haag","https://www.tichyseinblick.de/daili-es-sentials/gruene-ampel-fuer-staatsstrom/","Berlin blinkt links, die Welt rechts","12. März 2024","Redaktion"
"1717583313-9","https://www.tichyseinblick.de/?s=agrardiesel","Habeck will wohl staatliches Stromnetz – TE-Wecker am 12. März 2024","https://www.tichyseinblick.de/podcast/te-wecker-am-12-maerz-2024/","DER PODCAST AM MORGEN","12. März 2024","Gastautor"
"1717583313-10","https://www.tichyseinblick.de/?s=agrardiesel","Wenn die Zukunft ans Fenster des grünen Hauses klopft","https://www.tichyseinblick.de/meinungen/wenn-die-zukunft-ans-fenster-des-gruenen-hauses-klopft/","Proteste sind erst der Anfang","3. März 2024","Alexander Wendt"
