web-scraper-order,web-scraper-start-url,link,link-href
"1717581708-1","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=31","Nachrichtenpodcast: Mit tausend Traktoren gegen die Ampel-Sparpläne","https://www.zeit.de/politik/2023-12/demonstration-bauernverband-berlin-bundeshaushalt-nachrichtenpodcast"
"1717581708-2","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=31","Subventionen für Agrardiesel: FDP-Fraktion kündigt Widerstand gegen Streichung von Subventionen an","https://www.zeit.de/politik/deutschland/2023-12/agrarsubventionen-streichung-fdp-oezdemir-protest"
"1717581708-3","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=31","Klimawirkung der Haushaltseinigung: Nur die halbe Katastrophe","https://www.zeit.de/wirtschaft/2023-12/klimawirkung-haushaltseinigung-klimaschutz-haushaltsstreit-folgen"
"1717581708-4","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=31","Bundeshaushalt: Christian Lindner plant Teilreform der Schuldenbremse","https://www.zeit.de/politik/deutschland/2023-12/bundeshaushalt-christian-lindner-schuldenbremse-teilreform"
"1717581708-5","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=31","Aus für Agrardieselsubventionen: Bauern protestieren vor Privathaus von niedersächsischer Ministerin","https://www.zeit.de/gesellschaft/2023-12/landwirtschaft-subventionen-bauernverband-protest-ministerin-miriam-staudte"
"1717581708-6","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=31","Koalition: Ampel beendet Haushaltsstreit","https://www.zeit.de/politik/deutschland/2023-12/einigung-haushaltsstreit-erklaerung-ampelkoalition-bundesregierung"
"1717581708-7","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=31","Bundeshaushalt: Das passt nicht zusammen","https://www.zeit.de/wirtschaft/2023-12/bundeshaushalt-einigung-haushaltsstreit-ampelkoalition"
"1717581708-8","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=31","Landwirtschaft: Jetzt bloß nicht noch die Vogelgrippe","https://www.zeit.de/wirtschaft/2022-10/landwirtschaft-krisen-energiepreise-duerre-vogelgrippe"
"1717581708-9","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=31","Landwirtschaft: Teures Gut","https://www.zeit.de/2022/36/landwirtschaft-hitze-getreide-ukraine-krise"
"1717581708-10","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=31","Stockholm+50: Luxus, der ins Unglück führt","https://www.zeit.de/2022/22/stockholm-50-un-umweltkonferenz-1972"
"1717581710-11","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=30","Klimapolitik der Ampelkoalition: Auf gut Glück","https://www.zeit.de/2024/01/ampelkoalition-klimapolitik-2023-vertrauen-regierung"
"1717581710-12","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=30","Konjunktur 2024: Deutschland verlässlich pessimistisch","https://www.zeit.de/wirtschaft/2023-12/konjunktur-2024-kuerzungen-investitionen-bundesregierung"
"1717581710-13","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=30","Andreas Dressel : ""Ohne Zumutungen wird es nicht gehen""","https://www.zeit.de/2024/01/andreas-dressel-hamburg-haushaltskrise-schulden"
"1717581710-14","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=30","Protest gegen Sparmaßnahmen: Bauernproteste behindern Verkehr in mehreren Bundesländern","https://www.zeit.de/politik/deutschland/2023-12/bauernproteste-landwirte-traktoren-demonstration-verkehr-agrardiesel"
