"searchQuery/countryCode","searchQuery/device","searchQuery/domain","searchQuery/languageCode","searchQuery/locationUule","searchQuery/page","searchQuery/resultsPerPage","searchQuery/term","searchQuery/type","searchQuery/url","resultsTotal","date","description","displayedUrl","emphasizedKeywords/0","emphasizedKeywords/1","emphasizedKeywords/2","emphasizedKeywords/3","emphasizedKeywords/4","position","title","type","url","emphasizedKeywords/5"
"DE","DESKTOP","google.de",,,"1","5","Was steht im Entwurf für das Selbstbestimmungsgesetz? site:faz.net","SEARCH","http://www.google.de/search?q=Was+steht+im+Entwurf+f%C3%BCr+das+Selbstbestimmungsgesetz%3F+site%3Afaz.net&num=5","404","2024-12-04T12:00:00.000Z","Was beinhaltet der Entwurf für ein Selbstbestimmungsgesetz? Künftig soll jede volljährige Person die Geschlechtsidentität im Pass frei wählen ...","https://www.faz.net › FAZ.NET › Politik › Inland","Entwurf","Selbstbestimmungsgesetz",,,,"1","Selbstbestimmungsgesetz: Welche neuen Regeln der ...","organic","https://www.faz.net/aktuell/politik/inland/selbstbestimmungsgesetz-welche-neuen-regeln-der-entwurf-beinhaltet-19646450.html",
"DE","DESKTOP","google.de",,,"1","5","Was steht im Entwurf für das Selbstbestimmungsgesetz? site:faz.net","SEARCH","http://www.google.de/search?q=Was+steht+im+Entwurf+f%C3%BCr+das+Selbstbestimmungsgesetz%3F+site%3Afaz.net&num=5","404","2023-08-23T12:00:00.000Z","Transfeindliche Untertöne oder bedingungsloser Geschlechtswechsel: Was steht im Selbstbestimmungsgesetz, dessen Entwurf am Mittwoch beschlossen","https://www.faz.net › FAZ.NET › Politik › Inland","Was steht","Selbstbestimmungsgesetz","Entwurf",,,"2","Selbstbestimmungsgesetz beschlossen: So sieht der ...","organic","https://www.faz.net/aktuell/politik/inland/selbstbestimmungsgesetz-beschlossen-so-sieht-der-entwurf-aus-19123119.html",
"DE","DESKTOP","google.de",,,"1","5","Was steht im Entwurf für das Selbstbestimmungsgesetz? site:faz.net","SEARCH","http://www.google.de/search?q=Was+steht+im+Entwurf+f%C3%BCr+das+Selbstbestimmungsgesetz%3F+site%3Afaz.net&num=5","404","2023-08-23T12:00:00.000Z","US-Präsident Joe Biden hob nach Angaben eines US-Regierungsvertreters Beschränkungen auf, die es der Ukraine bislang untersagten, von den USA ...","https://www.faz.net › FAZ.NET › Politik › Inland",,,,,,"3","Was steht im Entwurf für das Selbstbestimmungsgesetz?","organic","https://www.faz.net/aktuell/politik/inland/was-steht-im-entwurf-fuer-das-selbstbestimmungsgesetz-19123433.html",
"DE","DESKTOP","google.de",,,"1","5","Was steht im Entwurf für das Selbstbestimmungsgesetz? site:faz.net","SEARCH","http://www.google.de/search?q=Was+steht+im+Entwurf+f%C3%BCr+das+Selbstbestimmungsgesetz%3F+site%3Afaz.net&num=5","404",,"Transfeindliche Untertöne oder bedingungsloser Geschlechtswechsel: Was steht im Selbstbestimmungsgesetz, dessen Entwurf am Mittwoch beschlossen wurde?","https://www.faz.net › aktuell › gesellschaft › thema › se...","Was steht","Selbstbestimmungsgesetz","Entwurf",,,"4","Selbstbestimmungsgesetz: Aktuelle News von heute","organic","https://www.faz.net/aktuell/gesellschaft/thema/selbstbestimmungsgesetz",
"DE","DESKTOP","google.de",,,"1","5","Was steht im Entwurf für das Selbstbestimmungsgesetz? site:faz.net","SEARCH","http://www.google.de/search?q=Was+steht+im+Entwurf+f%C3%BCr+das+Selbstbestimmungsgesetz%3F+site%3Afaz.net&num=5","404","2023-06-04T12:00:00.000Z","Im Entwurf des Selbstbestimmungsgesetzes steht, dass Transsexuelle ihr Geschlecht im Ausweis ändern dürfen, der Bademeister sie aber ...","https://www.faz.net › FAZ.NET › Politik › Inland","Entwurf","Selbstbestimmungsgesetzes steht",,,,"5","Transsexuell: Das Selbstbestimmungsgesetz ist zu unklar","organic","https://www.faz.net/aktuell/politik/inland/transsexuell-das-selbstbestimmungsgesetz-ist-zu-unklar-18791641.html",
"DE","DESKTOP","google.de",,,"1","5","Kabinett beschließt Selbstbestimmungsgesetz site:faz.net","SEARCH","http://www.google.de/search?q=Kabinett+beschlie%C3%9Ft+Selbstbestimmungsgesetz+site%3Afaz.net&num=5","32","2023-08-23T12:00:00.000Z","Das Selbstbestimmungsgesetz löst das Transsexuellengesetz ab. Künftig sollen Menschen mit einer einfachen Erklärung im Standesamt ihren ...","https://www.faz.net › FAZ.NET › Politik","Selbstbestimmungsgesetz",,,,,"1","Kabinett beschließt Selbstbestimmungsgesetz","organic","https://www.faz.net/aktuell/politik/kabinett-beschliesst-selbstbestimmungsgesetz-19123246.html",
"DE","DESKTOP","google.de",,,"1","5","Kabinett beschließt Selbstbestimmungsgesetz site:faz.net","SEARCH","http://www.google.de/search?q=Kabinett+beschlie%C3%9Ft+Selbstbestimmungsgesetz+site%3Afaz.net&num=5","32",,"Kabinett beschließt Selbstbestimmungsgesetz. 23.08.2023, 12:34 ... Der Queerbeauftragte der Bundesregierung, Sven Lehmann, bezeichnete den ...","https://www.faz.net › FAZ.NET › Politik › Inland","Kabinett beschließt Selbstbestimmungsgesetz",,,,,"2","Bis wann das Selbstbestimmungsgesetz in Kraft treten ...","organic","https://www.faz.net/aktuell/politik/inland/bis-wann-das-selbstbestimmungsgesetz-in-kraft-treten-koennte-19122021.html",
"DE","DESKTOP","google.de",,,"1","5","Kabinett beschließt Selbstbestimmungsgesetz site:faz.net","SEARCH","http://www.google.de/search?q=Kabinett+beschlie%C3%9Ft+Selbstbestimmungsgesetz+site%3Afaz.net&num=5","32","2023-08-23T12:00:00.000Z","Bundesjustizminister Marco Buschmann (FDP) und Familienministerin Lisa Paus (Grüne) zeigten sich am Mittwoch gleichwohl zuversichtlich. „Alle ...","https://www.faz.net › FAZ.NET › Politik › Inland",,,,,,"3","Selbstbestimmungsgesetz beschlossen: So sieht der ...","organic","https://www.faz.net/aktuell/politik/inland/selbstbestimmungsgesetz-beschlossen-so-sieht-der-entwurf-aus-19123119.html",
"DE","DESKTOP","google.de",,,"1","5","Kabinett beschließt Selbstbestimmungsgesetz site:faz.net","SEARCH","http://www.google.de/search?q=Kabinett+beschlie%C3%9Ft+Selbstbestimmungsgesetz+site%3Afaz.net&num=5","32","2023-08-23T12:00:00.000Z","Bundesjustizminister Buschmann Familienministerin Paus haben in Berlin das neue Selbstbestimmungsgesetz vorgestellt.","https://www.faz.net › FAZ.NET › Politik › Inland","Selbstbestimmungsgesetz",,,,,"4","Was steht im Entwurf für das Selbstbestimmungsgesetz?","organic","https://www.faz.net/aktuell/politik/inland/was-steht-im-entwurf-fuer-das-selbstbestimmungsgesetz-19123433.html",
"DE","DESKTOP","google.de",,,"1","5","Kabinett beschließt Selbstbestimmungsgesetz site:faz.net","SEARCH","http://www.google.de/search?q=Kabinett+beschlie%C3%9Ft+Selbstbestimmungsgesetz+site%3Afaz.net&num=5","32",,"Kabinett beschließt Selbstbestimmungsgesetz ... In den Augen von Familienministerin Paus ist der verabschiedete Entwurf „ein großer Moment“ für trans- und ...","https://www.faz.net › aktuell › gesellschaft › thema › se...","Kabinett beschließt Selbstbestimmungsgesetz",,,,,"5","Selbstbestimmungsgesetz: Aktuelle News von heute","organic","https://www.faz.net/aktuell/gesellschaft/thema/selbstbestimmungsgesetz",
