web-scraper-order,web-scraper-start-url,pageanation,pageanation-href,url,url-href,topic,date
"1717595736-1","https://www.nd-aktuell.de/suche/index.php?and=selbstbestimmungsgesetz+&search=Suchen&s0_d=01&s0_m=08&s0_y=2023&s1_d=20&s1_m=05&s1_y=2024&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&searchfields%5B%5D=3&display=0","","","Bündnis Sahra Wagenknecht: Die Normalen und die Anderen","https://www.nd-aktuell.de/artikel/1181440.selbstbestimmungsgesetz-buendnis-sahra-wagenknecht-die-normalen-und-die-anderen.html?sstr=selbstbestimmungsgesetz","Selbstbestimmungsgesetz
													Kommentare","15.04.2024"
"1717595736-2","https://www.nd-aktuell.de/suche/index.php?and=selbstbestimmungsgesetz+&search=Suchen&s0_d=01&s0_m=08&s0_y=2023&s1_d=20&s1_m=05&s1_y=2024&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&searchfields%5B%5D=3&display=0","","","Weniger Diskriminierung von trans Personen","https://www.nd-aktuell.de/artikel/1181444.selbstbestimmungsgesetz-weniger-diskriminierung-von-trans-personen.html?sstr=selbstbestimmungsgesetz","Selbstbestimmungsgesetz
													Politik","12.04.2024"
"1717595736-3","https://www.nd-aktuell.de/suche/index.php?and=selbstbestimmungsgesetz+&search=Suchen&s0_d=01&s0_m=08&s0_y=2023&s1_d=20&s1_m=05&s1_y=2024&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&searchfields%5B%5D=3&display=0","","","Abstimmung über Selbstbestimmungsgesetz: Von Misstrauen geprägt","https://www.nd-aktuell.de/artikel/1180847.bundestag-abstimmung-ueber-selbstbestimmungsgesetz-von-misstrauen-gepraegt.html?sstr=selbstbestimmungsgesetz","Bundestag
													Kommentare","10.04.2024"
"1717595736-4","https://www.nd-aktuell.de/suche/index.php?and=selbstbestimmungsgesetz+&search=Suchen&s0_d=01&s0_m=08&s0_y=2023&s1_d=20&s1_m=05&s1_y=2024&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&searchfields%5B%5D=3&display=0","","","Von der Notwendigkeit des Wünschens","https://www.nd-aktuell.de/artikel/1180455.die-zukunft-ist-nicht-binaer-von-der-notwendigkeit-des-wuenschens.html?sstr=selbstbestimmungsgesetz","»Die Zukunft ist nicht binär«
													Kultur","03.03.2024"
"1717595736-5","https://www.nd-aktuell.de/suche/index.php?and=selbstbestimmungsgesetz+&search=Suchen&s0_d=01&s0_m=08&s0_y=2023&s1_d=20&s1_m=05&s1_y=2024&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&searchfields%5B%5D=3&display=0","","","FDP-Mitgliederentscheid: Knappe Mehrheit für die Ampel","https://www.nd-aktuell.de/artikel/1178870.fdp-fdp-mitgliederentscheid-knappe-mehrheit-fuer-die-ampel.html?sstr=selbstbestimmungsgesetz","FDP
													Politik","01.01.2024"
"1717595736-6","https://www.nd-aktuell.de/suche/index.php?and=selbstbestimmungsgesetz+&search=Suchen&s0_d=01&s0_m=08&s0_y=2023&s1_d=20&s1_m=05&s1_y=2024&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&searchfields%5B%5D=3&display=0","","","Sachsens Grüne im Gegenwind","https://www.nd-aktuell.de/artikel/1176044.landtagswahl-sachsen-sachsens-gruene-im-gegenwind.html?sstr=selbstbestimmungsgesetz","Landtagswahl 2024 Sachsen
													Politik","05.09.2023"
"1717595736-7","https://www.nd-aktuell.de/suche/index.php?and=selbstbestimmungsgesetz+&search=Suchen&s0_d=01&s0_m=08&s0_y=2023&s1_d=20&s1_m=05&s1_y=2024&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&searchfields%5B%5D=3&display=0","","","Transfeindlichkeit: Alice Weidel feindet Linke-Politikerin an","https://www.nd-aktuell.de/artikel/1175880.maja-tegeler-transfeindlichkeit-alice-weidel-feindet-linke-politikerin-an.html?sstr=selbstbestimmungsgesetz","Maja Tegeler
													Politik","05.09.2023"
"1717595736-8","https://www.nd-aktuell.de/suche/index.php?and=selbstbestimmungsgesetz+&search=Suchen&s0_d=01&s0_m=08&s0_y=2023&s1_d=20&s1_m=05&s1_y=2024&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&searchfields%5B%5D=3&display=0","","","Selbstbestimmungsgesetz: Grundrechte kommen näher","https://www.nd-aktuell.de/artikel/1175808.transrechte-selbstbestimmungsgesetz-grundrechte-kommen-naeher.html?sstr=selbstbestimmungsgesetz","Transrechte
													Politik","25.08.2023"
"1717595736-9","https://www.nd-aktuell.de/suche/index.php?and=selbstbestimmungsgesetz+&search=Suchen&s0_d=01&s0_m=08&s0_y=2023&s1_d=20&s1_m=05&s1_y=2024&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&searchfields%5B%5D=3&display=0","","","Mehr Selbstbestimmung, weniger Schikane","https://www.nd-aktuell.de/artikel/1175740.transrechte-mehr-selbstbestimmung-weniger-schikane.html?sstr=selbstbestimmungsgesetz","Transrechte
													Politik","23.08.2023"
"1717595736-10","https://www.nd-aktuell.de/suche/index.php?and=selbstbestimmungsgesetz+&search=Suchen&s0_d=01&s0_m=08&s0_y=2023&s1_d=20&s1_m=05&s1_y=2024&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&searchfields%5B%5D=3&display=0","","","Selbstbestimmungsgesetz: Absurde Abwehr","https://www.nd-aktuell.de/artikel/1175728.transrechte-selbstbestimmungsgesetz-absurde-abwehr.html?sstr=selbstbestimmungsgesetz","Transrechte
													Kommentare","23.08.2023"
