web-scraper-order,web-scraper-start-url,url_title,url_title-href,topic,date,author
"1717595428-1","https://www.tichyseinblick.de/page/9/?s=selbstbestimmung","Meinungsfreiheit am Abgrund","https://www.tichyseinblick.de/daili-es-sentials/meinungsfreiheit-am-abgrund/","Zensur und Selbstzensur","3. September 2023","Anna Diouf"
"1717595428-2","https://www.tichyseinblick.de/page/9/?s=selbstbestimmung","Immer mehr Deutsche wandern aus – auch für ein „lebenswerteres Umfeld“","https://www.tichyseinblick.de/kolumnen/aus-aller-welt/immer-mehr-deutsche-wandern-aus-auch-fuer-ein-lebenswerteres-umfeld/","Ziele sind die Schweiz, Kanada, Ungarn","30. August 2023","Matthias Nikolaidis"
"1717595428-3","https://www.tichyseinblick.de/page/9/?s=selbstbestimmung","Nichts ist vergessen oder wie Corona-Demonstrationen das Bewusstsein veränderten","https://www.tichyseinblick.de/gastbeitrag/demonstration-corona-demonstration-berlin-29-august/","Kommentar zum Jahrestag des 29. August 2020","30. August 2023","Gastautor"
"1717595428-4","https://www.tichyseinblick.de/page/9/?s=selbstbestimmung","Robert Habecks Politik fußt auf fragwürdigen Prognosen","https://www.tichyseinblick.de/meinungen/habeck-politik-fusst-auf-fragwuerdigen-prognosen/","Weniger noch als Schall und Rauch:","29. August 2023","Klaus-Rüdiger Mai"
"1717595428-5","https://www.tichyseinblick.de/page/9/?s=selbstbestimmung","SPD: Satirische Partei Deutschlands","https://www.tichyseinblick.de/feuilleton/glosse/spd-satirische-partei-deutschlands/","Achtung, Glosse","28. August 2023","Christopher Walther"
"1717595428-6","https://www.tichyseinblick.de/page/9/?s=selbstbestimmung","Die Krise in Bergkarabach: „Ein schleichender Völkermord“","https://www.tichyseinblick.de/daili-es-sentials/krise-bergkarabach-schleichender-voelkermord/","Redaktionsschluss","27. August 2023","David Boos"
"1717595428-7","https://www.tichyseinblick.de/page/9/?s=selbstbestimmung","Blackbox KW 34 – Insasse „P01135809”, Haarfarbe erdbeerblond","https://www.tichyseinblick.de/kolumnen/blackbox/kw-34-insasse-p01135809-haarfarbe-erdbeerblond/","Blick zurück - nach vorn","27. August 2023","Stephan Paetow"
"1717595428-8","https://www.tichyseinblick.de/page/9/?s=selbstbestimmung","Ali Utlu: Durch Woke- und Queer-Bewegung werden alle Menschen in ihrer Identität bedroht","https://www.tichyseinblick.de/interviews/ali-utlu-selbstbestimmungsgesetz-muslime/","Muslime gg Selbstbestimmungsgesetz","26. August 2023","Matthias Nikolaidis"
"1717595428-9","https://www.tichyseinblick.de/page/9/?s=selbstbestimmung","CDU: Laute Kritik an den Ideologieprojekten der Ampel verschnarcht","https://www.tichyseinblick.de/meinungen/cdu-kritik-ampel-ideologie/","Die Union versagt selbst gegen Gurkentruppe","24. August 2023","Josef Kraus"
"1717595428-10","https://www.tichyseinblick.de/page/9/?s=selbstbestimmung","Wie man das Volk vertreibt","https://www.tichyseinblick.de/daili-es-sentials/selbstbestimmunggesetz-spd/","„Selbstbestimmungsgesetz“","23. August 2023","Christopher Walther"
"1717595428-11","https://www.tichyseinblick.de/page/9/?s=selbstbestimmung","Mit einem XXL-Shirt gegen Belästigung schützen?","https://www.tichyseinblick.de/kolumnen/stephans-spitzen/subway-tshirt/","Zurück in die Vergangenheit","22. August 2023","Cora Stephan"
"1717595428-12","https://www.tichyseinblick.de/page/9/?s=selbstbestimmung","Ampel-Zoff um Kindergrundsicherung – Geht es um 2 oder 12 oder 20 Milliarden Euro?","https://www.tichyseinblick.de/meinungen/ampel-zoff-um-kindergrundsicherung/","Paus: ""wichtigstes sozialpolitisches Projekt""","19. August 2023","Josef Kraus"
"1717595428-13","https://www.tichyseinblick.de/page/9/?s=selbstbestimmung","An einer längeren Lebensarbeitszeit führt kein Weg vorbei","https://www.tichyseinblick.de/meinungen/ifo-institut-sozialversicherung-beitraege-erhoehung-lebenzeit-verlaengern/","Das Desaster ist abzusehen","18. August 2023","Josef Kraus"
"1717595428-14","https://www.tichyseinblick.de/page/9/?s=selbstbestimmung","„Die Weltgesundheitsversammlung wird die Kompetenz haben, Sanktionen auszusprechen“","https://www.tichyseinblick.de/interviews/who-macht-vertraege-2/","Die Macht der Weltgesundheitsorganisation 2","13. August 2023","Gastautor"
"1717595428-15","https://www.tichyseinblick.de/page/9/?s=selbstbestimmung","Kinderbetreuung in der Krise","https://www.tichyseinblick.de/meinungen/kinder-kitas-und-klassen/","Kinder, Kitas und Klassen - Teil 1","12. August 2023","Selma Duman"
"1717595434-16","https://www.tichyseinblick.de/page/8/?s=selbstbestimmung","Lässt Scholz die Koalition mit den Grünen platzen?","https://www.tichyseinblick.de/daili-es-sentials/olaf-scholz-koalition-gruene/","Das jüngste Gerücht","16. Oktober 2023","Mario Thurnes"
"1717595434-17","https://www.tichyseinblick.de/page/8/?s=selbstbestimmung","Die AfD macht sich auf den Weg zur Regierungsbeteiligung im Bund","https://www.tichyseinblick.de/meinungen/afd-regierungsbeteiligung-bund/","Nach den Wahlen in Hessen und Bayern","11. Oktober 2023","Mario Thurnes"
"1717595434-18","https://www.tichyseinblick.de/page/8/?s=selbstbestimmung","Die Ampel in der Krise – aber nicht nur die","https://www.tichyseinblick.de/daili-es-sentials/landtagswahlen-bayern-hessen-2023/","Wahlen Hessen und Bayern","8. Oktober 2023","Mario Thurnes"
"1717595434-19","https://www.tichyseinblick.de/page/8/?s=selbstbestimmung","Die Ampel sucht ihr Heil im europäischen Asylsystem","https://www.tichyseinblick.de/kolumnen/aus-aller-welt/gemeinsames-europaeisches-asylsystem-geas/","Neues Asylgesetz soll die AfD ausbremsen","3. Oktober 2023","Roland Springer"
"1717595434-20","https://www.tichyseinblick.de/page/8/?s=selbstbestimmung","Scholz und Mützenich wollen sich nicht mehr von den Grünen auf der Nase rumtanzen lassen","https://www.tichyseinblick.de/meinungen/scholz-muetzenich-gruene/","Ist das Maß endlich voll?","28. September 2023","Josef Kraus"
"1717595434-21","https://www.tichyseinblick.de/page/8/?s=selbstbestimmung","Deutschland, USA und die Welt","https://www.tichyseinblick.de/gastbeitrag/usa-und-deutschland/","Deutsche Angst und Amerikas Sicherheit","25. September 2023","Gastautor"
"1717595434-22","https://www.tichyseinblick.de/page/8/?s=selbstbestimmung","Es gibt nur ein’ Rudi Völler","https://www.tichyseinblick.de/daili-es-sentials/es-gibt-nur-ein-rudi-voeller/","Raus aus der Krise","13. September 2023","Mario Thurnes"
"1717595434-23","https://www.tichyseinblick.de/page/8/?s=selbstbestimmung","Mehr als die Hälfte der Deutschen ist unzufrieden mit der Bundesregierung","https://www.tichyseinblick.de/daili-es-sentials/unzufrieden-bundesregierung-ipsos/","Ipsos-Umfrage","12. September 2023","Redaktion"
"1717595434-24","https://www.tichyseinblick.de/page/8/?s=selbstbestimmung","Experte zu Impfschäden fordert: Die Wahrheit muss auf den Tisch, um uns zu schützen","https://www.tichyseinblick.de/daili-es-sentials/experte-impfschaeden-fordert-wahrheit-demonstration-freisleben/","Demonstration am Breitscheidplatz","12. September 2023","Matthias Nikolaidis"
"1717595434-25","https://www.tichyseinblick.de/page/8/?s=selbstbestimmung","Die alltägliche Parteilichkeit von ARD und ZDF: Skandale und Lappalien","https://www.tichyseinblick.de/daili-es-sentials/ard-zdf-parteilichkeit-skandale-lappalien/","Die Fälle Faeser und Aiwanger","8. September 2023","Laszlo Trankovits"
"1717595434-26","https://www.tichyseinblick.de/page/8/?s=selbstbestimmung","Gewonnen hat die Demokratie, verloren die woke Medien-Allianz","https://www.tichyseinblick.de/daili-es-sentials/bayern-landtagswahl-umfrage-freie-waehler-csu-soeder/","Plus vier Prozent für Freie Wähler","6. September 2023","Klaus-Rüdiger Mai"
"1717595434-27","https://www.tichyseinblick.de/page/8/?s=selbstbestimmung","Die Koalition radikalisiert sich – aber „Wir sind das Volk“ und nicht die Parteien","https://www.tichyseinblick.de/meinungen/leserstimmen-koalition-radikalisiert-sich/","Leserstimmen","5. September 2023","Barbara Goergen"
"1717595434-28","https://www.tichyseinblick.de/page/8/?s=selbstbestimmung","Die Dringlichkeitsliste der Bürger und die Prioritäten der Ampel – zwei Welten","https://www.tichyseinblick.de/daili-es-sentials/zwei-welten-dringlichkeitsliste-buerger-prioritaeten-ampel/","Zweite Halbzeit der Ampel-Koalition","4. September 2023","Redaktion"
"1717595434-29","https://www.tichyseinblick.de/page/8/?s=selbstbestimmung","Berliner Professorin ruft Deutsche zur Kapitulation auf","https://www.tichyseinblick.de/meinungen/naika-foroutan/","Kulturelle Überfremdung","4. September 2023","Roland Springer"
"1717595434-30","https://www.tichyseinblick.de/page/8/?s=selbstbestimmung","In Bayern gewinnt Aiwanger die Bierzelte für sich","https://www.tichyseinblick.de/tichys-einblick/bayern-wahlkampf-aiwanger-soeder/","Gillamoos","4. September 2023","Roland Tichy"
"1717595441-31","https://www.tichyseinblick.de/page/7/?s=selbstbestimmung","Blackbox KW 46 – Offenbarungseid","https://www.tichyseinblick.de/kolumnen/blackbox/kw-46-offenbarungseid/","Blick zurück – nach vorn","19. November 2023","Stephan Paetow"
"1717595441-32","https://www.tichyseinblick.de/page/7/?s=selbstbestimmung","Habeck sucht Milliarden: Ampel-Desaster nach Karlsruher Urteil – TE-Wecker am 17. November 2023","https://www.tichyseinblick.de/podcast/te-wecker-am-17-november-2023/","DER PODCAST AM MORGEN","17. November 2023","Holger Douglas"
"1717595441-33","https://www.tichyseinblick.de/page/7/?s=selbstbestimmung","Ich fühle, also bin ich","https://www.tichyseinblick.de/meinungen/selbstbestimmungsgesetz-ich-fuehle-also-bin-ich/","Selbstbestimmungsgesetz im Parlament:","16. November 2023","Jakob Fröhlich"
"1717595441-34","https://www.tichyseinblick.de/page/7/?s=selbstbestimmung","Raus aus der Matrix","https://www.tichyseinblick.de/unternehmen/raus-aus-der-matrix/","Sponsored Article","16. November 2023","Sponsored Article"
"1717595441-35","https://www.tichyseinblick.de/page/7/?s=selbstbestimmung","Wie die FDP Freiheitsrechte der „Queerpolitik“ opfert","https://www.tichyseinblick.de/gastbeitrag/903395/","Selbstbestimmungsgesetz","16. November 2023","Gastautor"
"1717595441-36","https://www.tichyseinblick.de/page/7/?s=selbstbestimmung","Grüne Jugendministerin Paus fremdelt mit Maßnahmen gegen Antisemitismus","https://www.tichyseinblick.de/meinungen/bmfsfj-paus-projekt-respect-coaches-paus/","Aussetzung von Präventionsprogrammen","13. November 2023","Josef Kraus"
"1717595441-37","https://www.tichyseinblick.de/page/7/?s=selbstbestimmung","„Menschen“ überall, „Deutsche“ kaum zu finden","https://www.tichyseinblick.de/feuilleton/menschen-ueberall-deutsche-kaum-zu-finden/","Politsprachlicher Mainstream","13. November 2023","Helmut Berschin"
"1717595441-38","https://www.tichyseinblick.de/page/7/?s=selbstbestimmung","Die Ampel wäre zum Lachen, wäre ihr Murks nicht so traurig","https://www.tichyseinblick.de/tichys-einblick/ampel-murksrenten-buerokratie-strom/","Teuer verdrängt billig","12. November 2023","Roland Tichy"
"1717595441-39","https://www.tichyseinblick.de/page/7/?s=selbstbestimmung","Die Hamas will „die gesamte Gleichung ändern und nicht nur einen Konflikt auslösen“","https://www.tichyseinblick.de/meinungen/hamas-new-york-times-interview-islamisten/","Angriff der Islamisten auf uns","10. November 2023","Klaus-Rüdiger Mai"
"1717595441-40","https://www.tichyseinblick.de/page/7/?s=selbstbestimmung","Mehrheit hat die Nase voll von der „Ampel“","https://www.tichyseinblick.de/meinungen/umfrage-infratest-mehrheit-gegen-ampel/","Der Michel gar nicht mehr schafsgeduldig?","10. November 2023","Josef Kraus"
"1717595441-41","https://www.tichyseinblick.de/page/7/?s=selbstbestimmung","Autorin Ramadani: „Wer Woken widerspricht, wird ins rechte Eck gestellt“","https://www.tichyseinblick.de/feuilleton/buecher/autorin-ramadani-wer-woken-widerspricht-wird-ins-rechte-eck-gestellt/","Gefahr von Links","3. November 2023","Gastautor"
"1717595441-42","https://www.tichyseinblick.de/page/7/?s=selbstbestimmung","Österreich, Ungarn, Kroatien und Tschechien stimmen bei den UN für Israel","https://www.tichyseinblick.de/kolumnen/goergens-feder/oesterreich-kroatien-tschechien-un-fuer-israel-deutschland/","Deutschland enthält sich","29. Oktober 2023","Fritz Goergen"
"1717595441-43","https://www.tichyseinblick.de/page/7/?s=selbstbestimmung","Guterres und Heusgen: Die UN als Feind von Freiheit und Recht","https://www.tichyseinblick.de/kolumnen/goergens-feder/guterres-und-heusgen-die-un-als-feind-von-freiheit-und-recht/","Schein und Wirklichkeit","28. Oktober 2023","Fritz Goergen"
"1717595441-44","https://www.tichyseinblick.de/page/7/?s=selbstbestimmung","Wiedergeburt der Stasi unter dem Namen Nancy Faeser?","https://www.tichyseinblick.de/meinungen/verfassungsschutz-faeser/","Schnüffeln, denunzieren und zersetzen","27. Oktober 2023","Josef Kraus"
"1717595441-45","https://www.tichyseinblick.de/page/7/?s=selbstbestimmung","Nun denkt wenigstens der Bundesrat an die Kinder","https://www.tichyseinblick.de/meinungen/bundesrat-sbgg/","Ideologie- und Lobby-Projekt nimmt seinen Weg","23. Oktober 2023","Josef Kraus"
"1717595448-46","https://www.tichyseinblick.de/page/6/?s=selbstbestimmung","Tausend sexuelle Übergriffe durch Zuwanderer pro Jahr seit 2015","https://www.tichyseinblick.de/daili-es-sentials/kriminalitaet-uebergriffe-zuwanderer-seit-2015/","Asyl und Kriminalität","11. Januar 2024","Matthias Nikolaidis"
"1717595448-47","https://www.tichyseinblick.de/page/6/?s=selbstbestimmung","Die Ampel hat keine gesellschaftliche Mehrheit","https://www.tichyseinblick.de/meinungen/die-ampel-hat-keine-gesellschaftliche-mehrheit/","#Lautgegenlinks","10. Januar 2024","Mario Thurnes"
"1717595448-48","https://www.tichyseinblick.de/page/6/?s=selbstbestimmung","CSU legt Programm für die Übernahme der Bundesregierung vor: mit „bürgerlichen Wohlstands-Projekten“","https://www.tichyseinblick.de/meinungen/csu-regierungsprogramm-buergerliche-wohlstands-projekte/","Was immer das ist","6. Januar 2024","Josef Kraus"
"1717595448-49","https://www.tichyseinblick.de/page/6/?s=selbstbestimmung","Die sieben Grundübel der Bundesregierung","https://www.tichyseinblick.de/meinungen/rueckblick-2023-die-sieben-grunduebel-der-bundesregierung/","Das politische Jahr 2023","30. Dezember 2023","Mario Thurnes"
"1717595448-50","https://www.tichyseinblick.de/page/6/?s=selbstbestimmung","Beatrix von Storch: Organstreitklage gegen Bundestagspräsidium eingereicht","https://www.tichyseinblick.de/daili-es-sentials/redefreiheit-von-storch-organstreitklage-bundestagspraesidium/","Parteien-Klüngel gegen die Redefreiheit","29. Dezember 2023","Matthias Nikolaidis"
"1717595448-51","https://www.tichyseinblick.de/page/6/?s=selbstbestimmung","CDU/CSU-Fraktion stellt viele Fragen","https://www.tichyseinblick.de/meinungen/selbstbestimmungsgesetz-cdu-csu-fragen/","Selbstbestimmungsgesetz:","27. Dezember 2023","Josef Kraus"
"1717595448-52","https://www.tichyseinblick.de/page/6/?s=selbstbestimmung","Das CDU-regierte Berlin installiert 340 „Queer“-Projekte","https://www.tichyseinblick.de/meinungen/cdu-berlin-queer-projekte/","Immer wieder: Mogelpackung CDU","23. Dezember 2023","Josef Kraus"
"1717595448-53","https://www.tichyseinblick.de/page/6/?s=selbstbestimmung","Faeser: Sorge vor erneutem Gewaltexzess an Silvester","https://www.tichyseinblick.de/daili-es-sentials/faeser-sorge-vor-erneutem-gewaltexzess-an-silvester/","Noch kaum Schuldsprüche zum letzten Jahr","22. Dezember 2023","Matthias Nikolaidis"
"1717595448-54","https://www.tichyseinblick.de/page/6/?s=selbstbestimmung","Die Meinungsfreiheit steigt ab – die staatliche Meinungskontrolle steigt auf","https://www.tichyseinblick.de/meinungen/freiheitsindex-allensbach-media-tenor/","Herrschaft der Minderheit in der Mehrheit","20. Dezember 2023","Redaktion"
"1717595448-55","https://www.tichyseinblick.de/page/6/?s=selbstbestimmung","Zahl der Geschlechtsoperationen hat sich verdoppelt","https://www.tichyseinblick.de/daili-es-sentials/anzahl-geschlechtsangleichende-operationen-geschlechtsoperationen/","""Transhype""","11. Dezember 2023","Redaktion"
"1717595448-56","https://www.tichyseinblick.de/page/6/?s=selbstbestimmung","Steuergelder für Queer-Propaganda in Schulen und Kindergärten","https://www.tichyseinblick.de/gastbeitrag/geschlechtswechsel-steuergelder-queer-propaganda/","Zum Geschlechtswechsel ""angeregt""","11. Dezember 2023","Gastautor"
"1717595448-57","https://www.tichyseinblick.de/page/6/?s=selbstbestimmung","24 Monate Ampel-Deutschland …","https://www.tichyseinblick.de/meinungen/24-monate-ampel-deutschland/","Zwei Jahre Niedergang im Turboschritt","9. Dezember 2023","Josef Kraus"
"1717595448-58","https://www.tichyseinblick.de/page/6/?s=selbstbestimmung","Von der Bundesregierung geförderte Broschüre feiert Transsexualität bei 2-Jährigen","https://www.tichyseinblick.de/meinungen/awo-broschuere-transsexualitaet-kindergarten/","Geschlechtswechsel im Kindergarten","7. Dezember 2023","Pauline Schwarz"
"1717595448-59","https://www.tichyseinblick.de/page/6/?s=selbstbestimmung","Venezuela stimmt für den Anschluss des halben Nachbarlandes","https://www.tichyseinblick.de/kolumnen/aus-aller-welt/venezuela-referendum-guayana/","Referendum mit Zündstoff","4. Dezember 2023","Marco Gallina"
"1717595448-60","https://www.tichyseinblick.de/page/6/?s=selbstbestimmung","Transgender-Debatte: AfD-Fraktionsvize von Storch klagt gegen Ordnungsrufe","https://www.tichyseinblick.de/daili-es-sentials/transgender-debatte-ordnungsrufe/","Lügen-ist-Pflicht-Gesetz","25. November 2023","Matthias Nikolaidis"
"1717595455-61","https://www.tichyseinblick.de/page/5/?s=selbstbestimmung","Ampel-Pläne: Konturen der totalen Herrschaft","https://www.tichyseinblick.de/meinungen/ampel-unrecht-staat-herrschaft-rechtsstaat-justiz-polizei/","Ideologie macht Recht zu Unrecht","10. März 2024","Klaus-Rüdiger Mai"
