web-scraper-order,web-scraper-start-url,link,link-href
"1717596790-1","https://www.zeit.de/suche/index?q=selbstbestimmungsgesetz&type=article&type=gallery&type=video&type=author&type=manualtopic&p=4","Selbstbestimmungsgesetz: Vor uns trans Frauen muss man scheinbar Angst haben","https://www.zeit.de/zett/2023-08/selbstbestimmungsgesetz-trans-frauen-sauna-debatte"
"1717596790-2","https://www.zeit.de/suche/index?q=selbstbestimmungsgesetz&type=article&type=gallery&type=video&type=author&type=manualtopic&p=4","Selbstbestimmungsgesetz: Regierung beschließt neue Regeln zur Änderung des Geschlechtseintrags","https://www.zeit.de/politik/deutschland/2023-08/regierung-beschliesst-neue-regeln-zur-aenderung-des-geschlechtereintrags"
"1717596790-3","https://www.zeit.de/suche/index?q=selbstbestimmungsgesetz&type=article&type=gallery&type=video&type=author&type=manualtopic&p=4","Ferda Ataman: Antidiskriminierungsbeauftragte kritisiert Selbstbestimmungsgesetz","https://www.zeit.de/politik/deutschland/2023-08/ferda-ataman-selbstbestimmungsgesetz-bundestag-kritik"
"1717596790-4","https://www.zeit.de/suche/index?q=selbstbestimmungsgesetz&type=article&type=gallery&type=video&type=author&type=manualtopic&p=4","Radfahren in Hamburg: Hamburg ist keine gute Fahrradstadt – oder doch?","https://www.zeit.de/hamburg/2023-08/elbvertiefung-02-08-2023"
"1717596790-5","https://www.zeit.de/suche/index?q=selbstbestimmungsgesetz&type=article&type=gallery&type=video&type=author&type=manualtopic&p=4","Harald Martenstein: Rette sich, wer kann","https://www.zeit.de/zeit-magazin/2023/32/harald-martenstein-schiffsreisen-atlantik"
"1717596790-6","https://www.zeit.de/suche/index?q=selbstbestimmungsgesetz&type=article&type=gallery&type=video&type=author&type=manualtopic&p=4","Bundeskabinett: Buschmann erwartet baldigen Beschluss von Selbstbestimmungsgesetz","https://www.zeit.de/politik/deutschland/2023-07/bundesjustizminister-marco-buschmann-selbstbestimmungsgesetz-entwurf"
"1717596790-7","https://www.zeit.de/suche/index?q=selbstbestimmungsgesetz&type=article&type=gallery&type=video&type=author&type=manualtopic&p=4","Erfolg der AfD: Kulturkampfpause","https://www.zeit.de/2023/30/afd-erfolg-sommerpause-bundestag-kulturkampf"
"1717596790-8","https://www.zeit.de/suche/index?q=selbstbestimmungsgesetz&type=article&type=gallery&type=video&type=author&type=manualtopic&p=4","Lisa Paus: Regenbogen auf dem Dach","https://www.zeit.de/2023/30/lisa-paus-selbstbestimmungsgesetz-transidentitaet"
"1717596790-9","https://www.zeit.de/suche/index?q=selbstbestimmungsgesetz&type=article&type=gallery&type=video&type=author&type=manualtopic&p=4","Selbstbestimmungsgesetz: Darüber lohnt es sich zu streiten","https://www.zeit.de/politik/deutschland/2023-06/selbstbestimmungsgesetz-geschlechtseintrag-debatte-5vor8"
"1717596790-10","https://www.zeit.de/suche/index?q=selbstbestimmungsgesetz&type=article&type=gallery&type=video&type=author&type=manualtopic&p=4","Geschlechtseintrag: Ataman wirft Regierung Einknicken bei Selbstbestimmungsgesetz vor","https://www.zeit.de/politik/deutschland/2023-06/ferda-ataman-selbstbestimmungsgesetz-bundesregierung"
