web-scraper-order,web-scraper-start-url,pageanation,pageanation-href,url,url-href,topic,date
"1717616895-1","https://www.nd-aktuell.de/suche/index.php?and=wahlrecht+wahlrechtsreform+%C3%BCberhangmandat&search=Suchen&s0_d=01&s0_m=01&s0_y=2023&s1_d=31&s1_m=05&s1_y=2023&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&searchfields%5B%5D=3&display=0","","","Bremenwahl: Weiter mit Rot-Grün-Rot","https://www.nd-aktuell.de/artikel/1173618.koalitionsverhandlungen-bremenwahl-weiter-mit-rot-gruen-rot.html?sstr=wahlrecht|wahlrechtsreform|%C3%BCberhangmandat","Koalitionsverhandlungen
													Politik","30.05.2023"
"1717616895-2","https://www.nd-aktuell.de/suche/index.php?and=wahlrecht+wahlrechtsreform+%C3%BCberhangmandat&search=Suchen&s0_d=01&s0_m=01&s0_y=2023&s1_d=31&s1_m=05&s1_y=2023&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&searchfields%5B%5D=3&display=0","","","Spaniens Rechte hat Rückenwind","https://www.nd-aktuell.de/artikel/1173525.regionalwahlen-in-spanien-spaniens-rechte-hat-rueckenwind.html?sstr=wahlrecht|wahlrechtsreform|%C3%BCberhangmandat","Regionalwahlen in Spanien
													Politik","25.05.2023"
"1717616895-3","https://www.nd-aktuell.de/suche/index.php?and=wahlrecht+wahlrechtsreform+%C3%BCberhangmandat&search=Suchen&s0_d=01&s0_m=01&s0_y=2023&s1_d=31&s1_m=05&s1_y=2023&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&searchfields%5B%5D=3&display=0","","","Abtreibungsverbote in den USA: Der amerikanische Albtraum","https://www.nd-aktuell.de/artikel/1173472.kommentar-abtreibungsverbote-in-den-usa-der-amerikanische-albtraum.html?sstr=wahlrecht|wahlrechtsreform|%C3%BCberhangmandat","Kommentar
													Kommentare","24.05.2023"
"1717616895-4","https://www.nd-aktuell.de/suche/index.php?and=wahlrecht+wahlrechtsreform+%C3%BCberhangmandat&search=Suchen&s0_d=01&s0_m=01&s0_y=2023&s1_d=31&s1_m=05&s1_y=2023&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&searchfields%5B%5D=3&display=0","","","Wahl in Griechenland: Es lebe die Einparteienregierung","https://www.nd-aktuell.de/artikel/1173420.wahlrechtsreform-wahl-in-griechenland-es-lebe-die-einparteienregierung.html?sstr=wahlrecht|wahlrechtsreform|%C3%BCberhangmandat","Wahlrechtsreform
													Politik","22.05.2023"
"1717616895-5","https://www.nd-aktuell.de/suche/index.php?and=wahlrecht+wahlrechtsreform+%C3%BCberhangmandat&search=Suchen&s0_d=01&s0_m=01&s0_y=2023&s1_d=31&s1_m=05&s1_y=2023&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&searchfields%5B%5D=3&display=0","","","Griechenland: Keine Regierungsmehrheit für niemand","https://www.nd-aktuell.de/artikel/1173330.parlamentswahl-griechenland-keine-regierungsmehrheit-fuer-niemand.html?sstr=wahlrecht|wahlrechtsreform|%C3%BCberhangmandat","Parlamentswahl
													Politik","18.05.2023"
"1717616895-6","https://www.nd-aktuell.de/suche/index.php?and=wahlrecht+wahlrechtsreform+%C3%BCberhangmandat&search=Suchen&s0_d=01&s0_m=01&s0_y=2023&s1_d=31&s1_m=05&s1_y=2023&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&searchfields%5B%5D=3&display=0","","","US-Republikaner zementieren Macht in den Bundesstaaten","https://www.nd-aktuell.de/artikel/1173329.usa-us-republikaner-zementieren-macht-in-den-bundesstaaten.html?sstr=wahlrecht|wahlrechtsreform|%C3%BCberhangmandat","USA
													Politik","18.05.2023"
"1717616895-7","https://www.nd-aktuell.de/suche/index.php?and=wahlrecht+wahlrechtsreform+%C3%BCberhangmandat&search=Suchen&s0_d=01&s0_m=01&s0_y=2023&s1_d=31&s1_m=05&s1_y=2023&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&searchfields%5B%5D=3&display=0","","","Wahlwiederholung: Karlsruhe interessiert sich nicht für Berlin","https://www.nd-aktuell.de/artikel/1173313.bundesverfassungsgericht-wahlwiederholung-karlsruhe-interessiert-sich-nicht-fuer-berlin.html?sstr=wahlrecht|wahlrechtsreform|%C3%BCberhangmandat","Bundesverfassungsgericht
													Berlin","17.05.2023"
"1717616895-8","https://www.nd-aktuell.de/suche/index.php?and=wahlrecht+wahlrechtsreform+%C3%BCberhangmandat&search=Suchen&s0_d=01&s0_m=01&s0_y=2023&s1_d=31&s1_m=05&s1_y=2023&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&searchfields%5B%5D=3&display=0","","","Eine Entmystifizierung","https://www.nd-aktuell.de/artikel/1172982.mussolini-eine-entmystifizierung.html?sstr=wahlrecht|wahlrechtsreform|%C3%BCberhangmandat","Mussolini
													Kultur","25.04.2023"
"1717616895-9","https://www.nd-aktuell.de/suche/index.php?and=wahlrecht+wahlrechtsreform+%C3%BCberhangmandat&search=Suchen&s0_d=01&s0_m=01&s0_y=2023&s1_d=31&s1_m=05&s1_y=2023&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&searchfields%5B%5D=3&display=0","","","Kein Mensch, sondern Ressource ohne Wahlrecht","https://www.nd-aktuell.de/artikel/1172402.demokratie-kein-mensch-sondern-ressource-ohne-wahlrecht.html?sstr=wahlrecht|wahlrechtsreform|%C3%BCberhangmandat","Demokratie
													Kommentare","13.04.2023"
"1717616895-10","https://www.nd-aktuell.de/suche/index.php?and=wahlrecht+wahlrechtsreform+%C3%BCberhangmandat&search=Suchen&s0_d=01&s0_m=01&s0_y=2023&s1_d=31&s1_m=05&s1_y=2023&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&searchfields%5B%5D=3&display=0","","","Trump beteuert seine Unschuld","https://www.nd-aktuell.de/artikel/1172267.anklage-wegen-urkundenfaelschung-trump-beteuert-seine-unschuld.html?sstr=wahlrecht|wahlrechtsreform|%C3%BCberhangmandat","Anklage wegen Urkundenfälschung
													Politik","05.04.2023"
"1717616897-11","https://www.nd-aktuell.de/suche/index.php?and=wahlrecht+wahlrechtsreform+%C3%BCberhangmandat&search=Suchen&s0_d=01&s0_m=01&s0_y=2023&s1_d=31&s1_m=05&s1_y=2023&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&searchfields%5B%5D=3&display=0","3","https://www.nd-aktuell.de/suche/index.php?start=20&search=1&and=wahlrecht+wahlrechtsreform+%C3%BCberhangmandat&modus=1&s0_y=2023&s0_m=01&s0_d=01&s1_y=2023&s1_m=05&s1_d=31&sstr=wahlrecht%7Cwahlrechtsreform%7C%C3%BCberhangmandat&sort=1&display=0&searchfields%5B0%5D=0&searchfields%5B1%5D=1&searchfields%5B2%5D=2&searchfields%5B3%5D=3","Berlinwahl: Wahlkreis in Lichtenberg zu verlosen","https://www.nd-aktuell.de/artikel/1171003.wiederholungswahl-in-berlin-berlinwahl-wahlkreis-in-lichtenberg-zu-verlosen.html?sstr=wahlrecht|wahlrechtsreform|%C3%BCberhangmandat","Wiederholungswahl in Berlin
													Berlin","15.02.2023"
"1717616897-12","https://www.nd-aktuell.de/suche/index.php?and=wahlrecht+wahlrechtsreform+%C3%BCberhangmandat&search=Suchen&s0_d=01&s0_m=01&s0_y=2023&s1_d=31&s1_m=05&s1_y=2023&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&searchfields%5B%5D=3&display=0","3","https://www.nd-aktuell.de/suche/index.php?start=20&search=1&and=wahlrecht+wahlrechtsreform+%C3%BCberhangmandat&modus=1&s0_y=2023&s0_m=01&s0_d=01&s1_y=2023&s1_m=05&s1_d=31&sstr=wahlrecht%7Cwahlrechtsreform%7C%C3%BCberhangmandat&sort=1&display=0&searchfields%5B0%5D=0&searchfields%5B1%5D=1&searchfields%5B2%5D=2&searchfields%5B3%5D=3","Die Stimmen der Berliner ohne deutschen Pass bleiben ungehört","https://www.nd-aktuell.de/artikel/1170950.wahlrecht-fuer-alle-die-stimmen-der-berliner-ohne-deutschen-pass-bleiben-ungehoert.html?sstr=wahlrecht|wahlrechtsreform|%C3%BCberhangmandat","Wahlrecht für alle
													Berlin","13.02.2023"
"1717616897-13","https://www.nd-aktuell.de/suche/index.php?and=wahlrecht+wahlrechtsreform+%C3%BCberhangmandat&search=Suchen&s0_d=01&s0_m=01&s0_y=2023&s1_d=31&s1_m=05&s1_y=2023&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&searchfields%5B%5D=3&display=0","3","https://www.nd-aktuell.de/suche/index.php?start=20&search=1&and=wahlrecht+wahlrechtsreform+%C3%BCberhangmandat&modus=1&s0_y=2023&s0_m=01&s0_d=01&s1_y=2023&s1_m=05&s1_d=31&sstr=wahlrecht%7Cwahlrechtsreform%7C%C3%BCberhangmandat&sort=1&display=0&searchfields%5B0%5D=0&searchfields%5B1%5D=1&searchfields%5B2%5D=2&searchfields%5B3%5D=3","Angst vor der Rückkehr der Gewalt","https://www.nd-aktuell.de/artikel/1170539.israel-angst-vor-der-rueckkehr-der-gewalt.html?sstr=wahlrecht|wahlrechtsreform|%C3%BCberhangmandat","Israel
													Politik","29.01.2023"
"1717616897-14","https://www.nd-aktuell.de/suche/index.php?and=wahlrecht+wahlrechtsreform+%C3%BCberhangmandat&search=Suchen&s0_d=01&s0_m=01&s0_y=2023&s1_d=31&s1_m=05&s1_y=2023&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&searchfields%5B%5D=3&display=0","3","https://www.nd-aktuell.de/suche/index.php?start=20&search=1&and=wahlrecht+wahlrechtsreform+%C3%BCberhangmandat&modus=1&s0_y=2023&s0_m=01&s0_d=01&s1_y=2023&s1_m=05&s1_d=31&sstr=wahlrecht%7Cwahlrechtsreform%7C%C3%BCberhangmandat&sort=1&display=0&searchfields%5B0%5D=0&searchfields%5B1%5D=1&searchfields%5B2%5D=2&searchfields%5B3%5D=3","Gewalt ohne Ende","https://www.nd-aktuell.de/artikel/1170458.till-n-kampf-um-die-wahrheit-gewalt-ohne-ende.html?sstr=wahlrecht|wahlrechtsreform|%C3%BCberhangmandat","""TIll – Kampf um die Wahrheit""
													Kultur","26.01.2023"
"1717616897-15","https://www.nd-aktuell.de/suche/index.php?and=wahlrecht+wahlrechtsreform+%C3%BCberhangmandat&search=Suchen&s0_d=01&s0_m=01&s0_y=2023&s1_d=31&s1_m=05&s1_y=2023&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&searchfields%5B%5D=3&display=0","3","https://www.nd-aktuell.de/suche/index.php?start=20&search=1&and=wahlrecht+wahlrechtsreform+%C3%BCberhangmandat&modus=1&s0_y=2023&s0_m=01&s0_d=01&s1_y=2023&s1_m=05&s1_d=31&sstr=wahlrecht%7Cwahlrechtsreform%7C%C3%BCberhangmandat&sort=1&display=0&searchfields%5B0%5D=0&searchfields%5B1%5D=1&searchfields%5B2%5D=2&searchfields%5B3%5D=3","Besser als gar keine Lösung","https://www.nd-aktuell.de/artikel/1170185.wahlrechtsreform-besser-als-gar-keine-loesung.html?sstr=wahlrecht|wahlrechtsreform|%C3%BCberhangmandat","Wahlrechtsreform
													Kommentare","16.01.2023"
"1717616897-16","https://www.nd-aktuell.de/suche/index.php?and=wahlrecht+wahlrechtsreform+%C3%BCberhangmandat&search=Suchen&s0_d=01&s0_m=01&s0_y=2023&s1_d=31&s1_m=05&s1_y=2023&modus=1&sort=1&searchfields%5B%5D=0&searchfields%5B%5D=1&searchfields%5B%5D=2&searchfields%5B%5D=3&display=0","3","https://www.nd-aktuell.de/suche/index.php?start=20&search=1&and=wahlrecht+wahlrechtsreform+%C3%BCberhangmandat&modus=1&s0_y=2023&s0_m=01&s0_d=01&s1_y=2023&s1_m=05&s1_d=31&sstr=wahlrecht%7Cwahlrechtsreform%7C%C3%BCberhangmandat&sort=1&display=0&searchfields%5B0%5D=0&searchfields%5B1%5D=1&searchfields%5B2%5D=2&searchfields%5B3%5D=3","Wahlkreissieger nicht mehr sicher drin","https://www.nd-aktuell.de/artikel/1170183.wahlrechtsreform-wahlkreissieger-nicht-mehr-sicher-drin.html?sstr=wahlrecht|wahlrechtsreform|%C3%BCberhangmandat","Wahlrechtsreform
													Politik","16.01.2023"
