web-scraper-order,web-scraper-start-url,url_title,url_title-href,topic,date,author
"1717617619-1","https://www.tichyseinblick.de/page/2/?s=wahlrecht","Ampel-Wahlrecht gegen den freien Abgeordneten","https://www.tichyseinblick.de/daili-es-sentials/ampel-wahlrecht-bundestag-wahlreisstimme-hauptstimme-landeslisten-parteien/","Noch mehr Parteienstaat","16. Januar 2023","Redaktion"
"1717617619-2","https://www.tichyseinblick.de/page/2/?s=wahlrecht","Familienministerin Paus dringt auf Wahlrecht ab 16 Jahren","https://www.tichyseinblick.de/daili-es-sentials/familienministerin-paus-dringt-auf-wahlrecht-ab-16-jahren/","Absicht ist nicht gleich Begründung","25. Dezember 2022","Redaktion"
"1717617619-3","https://www.tichyseinblick.de/page/2/?s=wahlrecht","Mit dem Wahlrecht in den Rätestaat – Bürgernähe ist bedeutungslos","https://www.tichyseinblick.de/kolumnen/spahns-spitzwege/mit-dem-wahlrecht-in-den-raetestaat-buergernaehe-ist-bedeutungslos/","Skeptisch optimistisch","27. August 2020","Tomas Spahn"
"1717617619-4","https://www.tichyseinblick.de/page/2/?s=wahlrecht","Wahlrechtsreform – der x-te Fehlwurf","https://www.tichyseinblick.de/meinungen/wahlrechtsreform-der-x-te-fehlwurf/","Strapaze für die Logik","26. August 2020","Manfred C. Hettlage"
"1717617619-5","https://www.tichyseinblick.de/page/2/?s=wahlrecht","Bundestag: Wahlrecht à la Merkel und SPD","https://www.tichyseinblick.de/kolumnen/olaf-opitz-klare-kante/bundestag-wahlrecht-a-la-merkel-und-spd/","Verkleinerte Übergröße?","19. Juni 2020","Olaf Opitz"
"1717617619-6","https://www.tichyseinblick.de/page/2/?s=wahlrecht","Wahlrechtsänderung im Corona-Schatten: noch mehr Gewicht für die Parteien","https://www.tichyseinblick.de/daili-es-sentials/wahlrechtsaenderung-im-corona-schatten-noch-mehr-gewicht-fuer-die-parteien/","Funktionärsstaat","14. April 2020","Redaktion"
"1717617619-7","https://www.tichyseinblick.de/page/2/?s=wahlrecht","SPD-Vorschlag zum Wahlrecht: Ein Schritt zur besseren Bürgervertretung","https://www.tichyseinblick.de/kolumnen/spahns-spitzwege/spd-vorschlag-zum-wahlrecht-ein-schritt-zur-besseren-buergervertretung/","Bürgerabgeordnete statt Parteienvertreter","27. Januar 2020","Tomas Spahn"
"1717617619-8","https://www.tichyseinblick.de/page/2/?s=wahlrecht","Wahlrecht: Offener Brief an den Deutschen Bundestag","https://www.tichyseinblick.de/meinungen/wahlrecht-offener-brief-an-den-deutschen-bundestag/","100 Staatsrechtslehrer fordern Reform","23. September 2019","Manfred C. Hettlage"
"1717617619-9","https://www.tichyseinblick.de/page/2/?s=wahlrecht","Wahlrecht wegen Greta erst mit 16?","https://www.tichyseinblick.de/feuilleton/glosse/wahlrecht-wegen-greta-erst-mit-16/","Warum nicht mit 14?","2. März 2019",""
"1717617619-10","https://www.tichyseinblick.de/page/2/?s=wahlrecht","Brandenburg schafft freies Wahlrecht mittels Gender-Mainstreaming ab","https://www.tichyseinblick.de/daili-es-sentials/brandenburg-legt-gender-grenzen-fuer-das-wahlrecht-fest/","Wahlen: Nicht mehr gleiches Recht für alle","1. Februar 2019","Dr. Sebastian Sigler"
"1717617619-11","https://www.tichyseinblick.de/page/2/?s=wahlrecht","Wolfgang Schäuble: Der Wahlrechtsänderer?","https://www.tichyseinblick.de/meinungen/wolfgang-schaeuble-der-wahlrechtsaenderer/","Direktwahlrecht","1. Januar 2018","Manfred C. Hettlage"
"1717617619-12","https://www.tichyseinblick.de/page/2/?s=wahlrecht","Das Wahlrecht geht so lange „zum Brunnen“, bis es bricht","https://www.tichyseinblick.de/meinungen/das-wahlrecht-geht-so-lange-zum-brunnen-bis-es-bricht/","Niemand versteht das","11. November 2017","Manfred C. Hettlage"
"1717617619-13","https://www.tichyseinblick.de/page/2/?s=wahlrecht","Wahlrecht: Fornoff und Schönenborn zucken mit den Achseln","https://www.tichyseinblick.de/meinungen/wahlrecht-fornoff-und-schoenenborn-zucken-mit-den-achseln/","WAHLPROGNOSEN","4. September 2017","Manfred C. Hettlage"
"1717617619-14","https://www.tichyseinblick.de/page/2/?s=wahlrecht","Mir würde das Abwahlrecht reichen","https://www.tichyseinblick.de/kolumnen/alexander-wallasch-heute/mir-wuerde-das-abwahlrecht-reichen/","Merkelland Exkursion 3","1. September 2017","Alexander Wallasch"
"1717617619-15","https://www.tichyseinblick.de/page/2/?s=wahlrecht","Großbritannien-Wahl: Vorbild für deutsches Wahlrecht?","https://www.tichyseinblick.de/gastbeitrag/grossbritannien-wahl-vorbild-fuer-deutsches-wahlrecht/","Koalitionen auch mit Mehrheitswahlrecht","12. Juni 2017","Manfred C. Hettlage"
"1717617622-16","https://www.tichyseinblick.de/?s=wahlrecht","Karlsruhe entscheidet über die Wahlrechtsreform","https://www.tichyseinblick.de/daili-es-sentials/karlsruhe-entscheidet-ueber-die-wahlrechtsreform/","Ende der Fünf-Prozent-Hürde?","22. April 2024","Marco Gallina"
"1717617622-17","https://www.tichyseinblick.de/?s=wahlrecht","Faeser fordert Wahlrecht für Asylbewerber","https://www.tichyseinblick.de/daili-es-sentials/faeser-wahlrecht-asylbewerber/","""Wahlrecht für alle""","19. September 2023","Redaktion"
"1717617622-18","https://www.tichyseinblick.de/?s=wahlrecht","Demokratie ist mehr als Checklisten und Wahlrecht","https://www.tichyseinblick.de/daili-es-sentials/demokratie-ist-mehr-als-checklisten-und-wahlrecht/","Berliner Wahlwiederholung","20. Juli 2023","Maximilian Tichy"
"1717617622-19","https://www.tichyseinblick.de/?s=wahlrecht","Wie die CDU sich bei der Wahlrechtsreform selbst ein Bein gestellt hat","https://www.tichyseinblick.de/interviews/ulrich-vosgerau-wahlrechtsreform/","Interview mit Ulrich Vosgerau","18. März 2023","Holger Douglas"
"1717617622-20","https://www.tichyseinblick.de/?s=wahlrecht","Ampel sichert sich Mehrheit per Wahlrechtsänderung","https://www.tichyseinblick.de/tichys-einblick/ampel-sichert-sich-mehrheit-per-wahlrechtsaenderung/","FDP Teil der Blockpartei","17. März 2023","Roland Tichy"
"1717617622-21","https://www.tichyseinblick.de/?s=wahlrecht","Denkfehler der CDU: Bundestag kickt mit Wahlrechtsreform möglicherweise die CSU raus – TE-Wecker am 17. März 2023","https://www.tichyseinblick.de/podcast/te-wecker-am-17-maerz-2023/","DER PODCAST AM MORGEN","17. März 2023","Holger Douglas"
"1717617622-22","https://www.tichyseinblick.de/?s=wahlrecht","Rupert Scholz: Geplante Wahlrechtsreform verletzt das Grundgesetz","https://www.tichyseinblick.de/gastbeitrag/rupert-scholz-geplante-wahlrechtsreform-verletzt-das-grundgesetz/","Artikel 38 verletzt","16. März 2023","Gastautor"
"1717617622-23","https://www.tichyseinblick.de/?s=wahlrecht","Wahlrechtsreform: Das Ende Deutschlands, wie wir es kennen","https://www.tichyseinblick.de/tichys-einblick/das-ende-deutschlands-wie-wir-es-kennen/","Ent-Demokratisierung","16. März 2023","Roland Tichy"
"1717617622-24","https://www.tichyseinblick.de/?s=wahlrecht","Wahlrechtsreform: Die Regierung diskriminiert Oppositionsparteien","https://www.tichyseinblick.de/meinungen/wahlrechtsreform-csu-linke/","gegen CSU und Linke","16. März 2023","Marco Gallina"
