web-scraper-order,web-scraper-start-url,link,link-href
"1717618264-1","https://www.zeit.de/suche/index?q=wahlrechtsreform+%7C+wahlrecht+-neukaledonien&type=article&type=gallery&type=video&type=author&type=manualtopic&p=23","Wahlrechtsreform: Ampel will Überhangs- und Ausgleichsmandate im Bundestag abschaffen","https://www.zeit.de/politik/deutschland/2023-01/gesetzesentwurf-wahlrechtsreform-bundestag-ampel"
"1717618264-2","https://www.zeit.de/suche/index?q=wahlrechtsreform+%7C+wahlrecht+-neukaledonien&type=article&type=gallery&type=video&type=author&type=manualtopic&p=23","Verkleinerung des Bundestages: Grüne werben für Wahlrechtsreform, Union droht mit Klage","https://www.zeit.de/politik/deutschland/2023-01/bundestag-verkleinerung-gruene-union-mandate"
"1717618264-3","https://www.zeit.de/suche/index?q=wahlrechtsreform+%7C+wahlrecht+-neukaledonien&type=article&type=gallery&type=video&type=author&type=manualtopic&p=23","Wahlwiederholung in Berlin: Frau Bertermann kandidiert jetzt für die falsche Partei","https://www.zeit.de/politik/deutschland/2023-01/berlin-wahlwiederholung-falsche-kandidaten"
"1717618264-4","https://www.zeit.de/suche/index?q=wahlrechtsreform+%7C+wahlrecht+-neukaledonien&type=article&type=gallery&type=video&type=author&type=manualtopic&p=23","Sturm auf das Kapitol: ""Dieser Aufstand war ein Geschenk an das amerikanische Volk""","https://www.zeit.de/2023/01/usa-kapitol-aufstand-barbara-walter"
"1717618264-5","https://www.zeit.de/suche/index?q=wahlrechtsreform+%7C+wahlrecht+-neukaledonien&type=article&type=gallery&type=video&type=author&type=manualtopic&p=23","Vornamen : Vieles könnte so einfach sein","https://www.zeit.de/2023/02/vornamen-kinder-christine-lambrecht-christian-lindner"
"1717618264-6","https://www.zeit.de/suche/index?q=wahlrechtsreform+%7C+wahlrecht+-neukaledonien&type=article&type=gallery&type=video&type=author&type=manualtopic&p=23","Psychologie: Ich müsste, könnte, sollte – schaff's aber nicht","https://www.zeit.de/2023/01/erschoepfung-psychologie-krisen-gesellschaft"
"1717618264-7","https://www.zeit.de/suche/index?q=wahlrechtsreform+%7C+wahlrecht+-neukaledonien&type=article&type=gallery&type=video&type=author&type=manualtopic&p=23","Wahlrecht: Bundesfamilienministerin befürwortet Wahlrecht ab 16 Jahren","https://www.zeit.de/politik/deutschland/2022-12/wahlrecht-bundesfamilienministerin-lisa-paus-16-jahre-wahlalter"
"1717618264-8","https://www.zeit.de/suche/index?q=wahlrechtsreform+%7C+wahlrecht+-neukaledonien&type=article&type=gallery&type=video&type=author&type=manualtopic&p=23","US-Haushalt: Repräsentantenhaus stimmt über Milliardenhilfen für Ukraine ab","https://www.zeit.de/politik/ausland/2022-12/us-haushalt-kongress-abstimmung-ukraine-wahlrecht-reform-sturm-kapitol"
"1717618264-9","https://www.zeit.de/suche/index?q=wahlrechtsreform+%7C+wahlrecht+-neukaledonien&type=article&type=gallery&type=video&type=author&type=manualtopic&p=23","Bundestagspräsidentin: Bärbel Bas wirbt für längere Wahlperiode und niedrigeres Wahlalter","https://www.zeit.de/politik/deutschland/2022-12/baerbel-bas-wahlperiode-wahlalter-wahlberechtigung"
"1717618264-10","https://www.zeit.de/suche/index?q=wahlrechtsreform+%7C+wahlrecht+-neukaledonien&type=article&type=gallery&type=video&type=author&type=manualtopic&p=23","Gesetze: Wie man Politik schönredet","https://www.zeit.de/politik/2022-12/gesetze-respect-for-marriage-act-kita-qualitaetsgesetz-namen"
